Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-192.168.56.102-47470-443-6,10.0.2.15,47470,192.168.56.102,443,6,24/03/2020 10:47:38 PM,4669,5,5,524.0,1272.0,517.0,0.0,104.8,230.44674005071107,1272.0,0.0,254.4,568.8556934759465,384664.8104519169,2141.7862497322767,518.7777777777778,757.0934185716083,2185.0,4.0,3367.0,841.75,985.6491515747375,2272.0,124.0,3972.0,993.0,993.2988808342968,2185.0,15.0,0,0,0,0,120,104,1070.8931248661384,1070.8931248661384,0.0,1272.0,163.27272727272725,399.0092958589037,159208.41818181815,1,2,0,3,9,0,0,0,1.0,179.6,104.8,254.4,0,0,0,0,0,0,0,52,0,127,64240,65535,2,20,0,0,0,0,1.5851044590002625E15,1681.9600006907451,1.585104459002811E15,1.585104458998293E15,No Label
10.0.2.15-192.168.56.102-47466-443-6,10.0.2.15,47466,192.168.56.102,443,6,24/03/2020 10:47:38 PM,8168,6,5,524.0,1272.0,517.0,0.0,87.33333333333333,210.51144070255816,1272.0,0.0,254.4,568.8556934759465,219882.4681684623,1346.718903036239,816.8000000000001,1505.085069578018,4104.0,4.0,8104.0,1620.8,1907.036103486245,4177.0,104.0,7701.0,1925.25,2045.2205056342132,4104.0,153.0,0,0,0,0,140,104,734.5739471106758,612.1449559255632,0.0,1272.0,149.66666666666666,383.34895883832036,146956.42424242423,1,2,1,3,10,0,0,0,0.0,163.27272727272728,87.33333333333333,254.4,0,0,0,0,0,0,0,47,0,115,64240,65535,2,20,0,0,0,0,1.5851044590007328E15,3416.7962491547064,1.585104459003805E15,1.585104458995812E15,No Label
10.0.2.15-192.168.56.102-47476-443-6,10.0.2.15,47476,192.168.56.102,443,6,24/03/2020 10:47:39 PM,2978,5,5,524.0,1272.0,517.0,0.0,104.8,230.44674005071107,1272.0,0.0,254.4,568.8556934759465,603089.321692411,3357.9583613163195,330.8888888888889,426.70025909426295,1281.0,3.0,2632.0,658.0,597.0968653967852,1442.0,169.0,2186.0,546.5,493.3872718260981,1281.0,254.0,0,0,0,0,120,104,1678.9791806581597,1678.9791806581597,0.0,1272.0,163.27272727272725,399.0092958589037,159208.41818181815,1,2,0,3,9,0,0,0,1.0,179.6,104.8,254.4,0,0,0,0,0,0,0,52,0,127,64240,65535,2,20,0,0,0,0,1.5851044590060178E15,989.3436660150643,1.585104459007125E15,1.585104459004508E15,No Label
10.0.2.15-192.168.56.102-47650-443-6,10.0.2.15,47650,192.168.56.102,443,6,24/03/2020 10:47:39 PM,19519,6,5,524.0,1272.0,517.0,0.0,87.33333333333333,210.51144070255816,1272.0,0.0,254.4,568.8556934759465,92012.910497464,563.5534607305701,1951.9,5758.685680488793,18337.0,2.0,19474.0,3894.8,8090.792433377586,18365.0,117.0,19165.0,4791.25,9031.189784112981,18337.0,148.0,0,0,0,0,140,104,307.3927967621292,256.160663968441,0.0,1272.0,149.66666666666666,383.34895883832036,146956.42424242423,1,2,1,3,10,0,0,0,0.0,163.27272727272728,87.33333333333333,254.4,0,0,0,0,0,0,0,47,0,115,64240,65535,2,20,0,0,0,0,1.5851044590784498E15,9987.787867267556,1.585104459088107E15,1.585104459068773E15,No Label
10.0.2.15-192.168.56.102-47732-443-6,10.0.2.15,47732,192.168.56.102,443,6,24/03/2020 10:47:39 PM,24344,5,5,524.0,1272.0,517.0,0.0,104.8,230.44674005071107,1272.0,0.0,254.4,568.8556934759465,73775.87906671048,410.7788366743345,2704.8888888888887,7331.377572537859,22234.0,5.0,24111.0,6027.75,10866.811043263797,22319.0,341.0,24009.0,6002.25,10830.932381378807,22234.0,127.0,0,0,0,0,120,104,205.38941833716726,205.38941833716726,0.0,1272.0,163.27272727272725,399.0092958589037,159208.41818181815,1,2,0,3,9,0,0,0,1.0,179.6,104.8,254.4,0,0,0,0,0,0,0,52,0,127,64240,65535,2,20,0,0,0,0,1.5851044591090422E15,12253.437800123807,1.585104459122861E15,1.585104459098761E15,No Label
10.0.2.15-192.168.56.102-47734-443-6,10.0.2.15,47734,192.168.56.102,443,6,24/03/2020 10:47:39 PM,23647,5,5,524.0,1272.0,517.0,0.0,104.8,230.44674005071107,1272.0,0.0,254.4,568.8556934759465,75950.43768765594,422.8866240960798,2627.4444444444443,7394.688213696219,22341.0,4.0,23422.0,5855.5,11020.894987855267,22385.0,165.0,23346.0,5836.5,11005.530049328232,22341.0,127.0,0,0,0,0,120,104,211.4433120480399,211.4433120480399,0.0,1272.0,163.27272727272725,399.0092958589037,159208.41818181815,1,2,0,3,9,0,0,0,1.0,179.6,104.8,254.4,0,0,0,0,0,0,0,52,0,127,64240,65535,2,20,0,0,0,0,1.5851044591095898E15,12151.125678634111,1.585104459122932E15,1.585104459099522E15,No Label
10.0.2.15-192.168.56.102-47824-443-6,10.0.2.15,47824,192.168.56.102,443,6,24/03/2020 10:47:39 PM,31844,5,5,524.0,1272.0,517.0,0.0,104.8,230.44674005071107,1272.0,0.0,254.4,568.8556934759465,56399.9497550559,314.0309006406231,3538.222222222222,10135.7134649932,30563.0,3.0,31252.0,7813.0,15193.36431911423,30603.0,185.0,31641.0,7910.250000000001,15102.408469622762,30563.0,224.0,0,0,0,0,120,104,157.01545032031154,157.01545032031154,0.0,1272.0,163.27272727272725,399.0092958589037,159208.41818181815,1,2,0,3,9,0,0,0,1.0,179.6,104.8,254.4,0,0,0,0,0,0,0,52,0,127,64240,65535,2,20,0,0,0,0,1.5851044591472112E15,16473.387273403237,1.585104459164986E15,1.585104459133741E15,No Label
10.0.2.15-192.168.56.102-47872-443-6,10.0.2.15,47872,192.168.56.102,443,6,24/03/2020 10:47:39 PM,37839,5,5,524.0,1272.0,517.0,0.0,104.8,230.44674005071107,1272.0,0.0,254.4,568.8556934759465,47464.256454980314,264.27759718808636,4204.333333333333,11985.831322857834,36162.0,4.0,37080.0,9270.0,17984.50028960123,36246.0,94.0,37433.0,9358.25,17869.749081898157,36162.0,252.0,0,0,0,0,120,104,132.13879859404318,132.13879859404318,0.0,1272.0,163.27272727272725,399.0092958589037,159208.41818181815,1,2,0,3,9,0,0,0,1.0,179.6,104.8,254.4,0,0,0,0,0,0,0,52,0,127,64240,65535,2,20,0,0,0,0,1.5851044591667225E15,19525.731319280418,1.585104459187695E15,1.585104459150559E15,No Label
10.0.2.15-192.168.56.102-47954-443-6,10.0.2.15,47954,192.168.56.102,443,6,24/03/2020 10:47:39 PM,43826,5,5,524.0,1272.0,517.0,0.0,104.8,230.44674005071107,1272.0,0.0,254.4,568.8556934759465,40980.24004015881,228.17505590288872,4869.555555555556,13926.96659462418,42003.0,2.0,43136.0,10784.0,20892.0478492017,42121.0,118.0,43476.0,10869.0,20757.183832752136,42003.0,178.0,0,0,0,0,120,104,114.08752795144436,114.08752795144436,0.0,1272.0,163.27272727272725,399.0092958589037,159208.41818181815,1,2,0,3,9,0,0,0,1.0,179.6,104.8,254.4,0,0,0,0,0,0,0,52,0,127,64240,65535,2,20,0,0,0,0,1.585104459200716E15,22687.73881265878,1.585104459225065E15,1.585104459181938E15,No Label
10.0.2.15-192.168.56.102-48044-443-6,10.0.2.15,48044,192.168.56.102,443,6,24/03/2020 10:47:39 PM,50739,5,5,524.0,1272.0,517.0,0.0,104.8,230.44674005071107,1272.0,0.0,254.4,568.8556934759465,35396.83478192318,197.08705335146536,5637.666666666667,16278.516509498033,49044.0,2.0,50125.0,12531.250000000002,24414.19665379142,49152.0,147.0,50390.0,12597.5,24298.130908912863,49044.0,239.0,0,0,0,0,120,104,98.54352667573268,98.54352667573268,0.0,1272.0,163.27272727272725,399.0092958589037,159208.41818181815,1,2,0,3,9,0,0,0,1.0,179.6,104.8,254.4,0,0,0,0,0,0,0,52,0,127,64240,65535,2,20,0,0,0,0,1.5851044592384748E15,26441.58481879094,1.585104459266843E15,1.585104459216729E15,No Label
