Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-192.168.56.101-35617-21-6,10.0.2.15,35617,192.168.56.101,21,6,29/03/2020 08:42:22 PM,108642596,8,6,28.0,76.0,15.0,0.0,3.5,6.502746672423453,34.0,0.0,12.666666666666668,14.678782874157744,0.9572672582308325,0.1288629001464582,8357122.769230769,2.926643072327534E7,1.05724907E8,18.0,1.08642596E8,1.5520370857142856E7,3.979123917368978E7,1.05724907E8,314.0,2916486.0,583297.2,1300959.4105646417,2910523.0,664.0,0,0,0,0,180,124,0.07363594294083327,0.05522695720562495,0.0,34.0,6.933333333333334,11.061301051521061,122.35238095238094,1,2,0,5,13,0,0,0,0.0,7.428571428571429,3.5,12.666666666666666,0,0,0,0,4,44181,0,2,0,5,64240,65535,2,20,0,0,0,0,1.4534015394361278E15,4.577027503602495E14,1.585528945148371E15,1.05724856E8,No Label
10.0.2.15-192.168.56.101-42271-21-6,10.0.2.15,42271,192.168.56.101,21,6,29/03/2020 08:42:26 PM,3120654,7,6,30.0,76.0,15.0,0.0,4.285714285714286,7.319250547113999,34.0,0.0,12.666666666666668,14.678782874157744,33.96723891850875,4.1657934522699405,260054.5,898673.3717876994,3113724.0,14.0,3120654.0,520108.99999999994,1270828.6764172423,3114176.0,356.0,3119647.0,623929.4,1391838.0864431753,3113724.0,559.0,0,0,0,0,160,124,2.243119551222276,1.922673901047665,0.0,34.0,7.571428571428571,11.393076748718839,129.8021978021978,0,2,0,5,12,0,0,0,0.0,8.153846153846153,4.285714285714286,12.666666666666666,0,0,0,0,4,46796,0,2,0,5,64240,65535,2,20,0,0,0,0,1.5855289469636552E15,939364.766879271,1.585528949795939E15,1.58552894667581E15,No Label
10.0.2.15-192.168.56.101-39263-21-6,10.0.2.15,39263,192.168.56.101,21,6,29/03/2020 08:42:29 PM,2201924,7,6,30.0,76.0,15.0,0.0,4.285714285714286,7.319250547113999,34.0,0.0,12.666666666666668,14.678782874157744,48.139717810423974,5.9039276559953935,183493.66666666666,634872.3834537476,2199484.0,5.0,2201924.0,366987.3333333334,897817.7541816974,2199650.0,88.0,2201341.0,440268.2,983431.6091405137,2199484.0,124.0,0,0,0,0,160,124,3.179037968612904,2.7248896873824893,0.0,34.0,7.571428571428571,11.393076748718839,129.8021978021978,0,2,0,5,12,0,0,0,0.0,8.153846153846153,4.285714285714286,12.666666666666666,0,0,0,0,4,135483,0,2,0,5,64240,65535,2,20,0,0,0,0,1.5855289500053205E15,663343.7558262959,1.585528952005376E15,1.58552894980364E15,No Label
10.0.2.15-192.168.56.101-39263-21-6,10.0.2.15,39263,192.168.56.101,21,6,29/03/2020 08:44:42 PM,1503,4,5,0.0,64.0,0.0,0.0,0.0,0.0,40.0,0.0,12.8,16.34625339336204,42581.503659347974,5988.023952095808,187.875,243.53494175814456,585.0,7.0,1489.0,496.33333333333337,556.6527942383235,1115.0,36.0,1003.0,250.75000000000003,268.6265995764381,585.0,21.0,0,0,0,0,80,100,2661.3439787092484,3326.67997338656,0.0,40.0,6.3999999999999995,12.816655830077776,164.26666666666665,2,0,3,3,6,0,0,0,1.0,7.111111111111111,0.0,12.8,0,0,0,0,0,0,0,0,0,7,64164,65535,0,20,0,0,0,0,1.5855290827329852E15,435.3478008539073,1.585529082733354E15,1.585529082732419E15,No Label
10.0.2.15-192.168.56.101-42711-21-6,10.0.2.15,42711,192.168.56.101,21,6,29/03/2020 08:42:32 PM,2953618,7,6,28.0,76.0,15.0,0.0,4.0,6.855654600401045,34.0,0.0,12.666666666666668,14.678782874157744,35.21105302039736,4.40138162754967,246134.8333333333,850443.0052159267,2946652.0,16.0,2953618.0,492269.6666666667,1202605.3032370456,2947076.0,313.0,2952591.0,590518.2,1317119.5863021323,2946652.0,455.0,0,0,0,0,160,124,2.369974722526745,2.031406905022924,0.0,34.0,7.428571428571429,11.304963414456404,127.8021978021978,0,2,0,5,12,0,0,0,0.0,8.0,4.0,12.666666666666666,0,0,0,0,4,49848,0,2,0,5,64240,65535,2,20,0,0,0,0,1.5855289523035235E15,888968.8582194609,1.585528954983857E15,1.58552895203072E15,No Label
10.0.2.15-192.168.56.101-42711-21-6,10.0.2.15,42711,192.168.56.101,21,6,29/03/2020 08:44:45 PM,1426,6,7,0.0,64.0,0.0,0.0,0.0,0.0,40.0,0.0,9.142857142857144,14.276187299469136,44880.78541374474,9116.409537166901,118.83333333333331,244.099023622245,785.0,5.0,1408.0,281.6,551.516364217781,1268.0,26.0,975.0,162.5,305.60415573090626,785.0,23.0,0,0,0,0,120,140,4207.57363253857,4908.835904628331,0.0,40.0,4.571428571428572,10.796824930109247,116.57142857142857,2,0,5,5,8,0,0,0,1.0,4.923076923076923,0.0,9.142857142857142,0,0,0,0,5,383233,0,0,0,4,64164,65535,0,20,0,0,0,0,1.585529085262456E15,309.2589131249449,1.585529085262654E15,1.585529085261739E15,No Label
10.0.2.15-192.168.56.101-44009-21-6,10.0.2.15,44009,192.168.56.101,21,6,29/03/2020 08:42:35 PM,2697606,7,6,31.0,76.0,16.0,0.0,4.428571428571428,7.5687326736854885,34.0,0.0,12.666666666666668,14.678782874157744,39.66479908481817,4.8190877392769735,224800.5,776497.2796191298,2690508.0,11.0,2697606.0,449601.0,1097987.5977192093,2690857.0,255.0,2696532.0,539306.4,1202559.1882754879,2690508.0,453.0,0,0,0,0,160,124,2.594893398072217,2.224194341204757,0.0,34.0,7.642857142857142,11.446243205370203,131.01648351648353,0,2,0,5,12,0,0,0,0.0,8.23076923076923,4.428571428571429,12.666666666666666,0,0,0,0,4,51892,0,2,0,5,64240,65535,2,20,0,0,0,0,1.585528955258969E15,811746.9103702641,1.585528957706468E15,1.585528955009255E15,No Label
10.0.2.15-192.168.56.101-44009-21-6,10.0.2.15,44009,192.168.56.101,21,6,29/03/2020 08:44:47 PM,1463,3,4,0.0,64.0,0.0,0.0,0.0,0.0,40.0,0.0,16.0,19.595917942265423,43745.72795625427,4784.688995215311,243.83333333333331,255.9847000636301,563.0,13.0,1437.0,718.5,549.4219689819474,1107.0,330.0,948.0,316.0,263.28501666445055,563.0,39.0,0,0,0,0,60,80,2050.580997949419,2734.1079972658918,0.0,40.0,8.0,15.417985786550904,237.7142857142857,2,0,2,2,5,0,0,0,1.0,9.142857142857142,0.0,16.0,0,0,0,0,0,0,0,0,0,9,64164,65535,0,20,0,0,0,0,1.5855290878001665E15,421.74597409657235,1.585529087800656E15,1.585529087799805E15,No Label
10.0.2.15-192.168.56.101-39413-21-6,10.0.2.15,39413,192.168.56.101,21,6,29/03/2020 08:42:37 PM,2634331,7,6,27.0,76.0,15.0,0.0,3.857142857142857,6.644009116704848,34.0,0.0,12.666666666666668,14.678782874157744,39.09911093176977,4.934839243815603,219527.58333333334,758264.891217078,2627340.0,20.0,2634331.0,439055.1666666666,1072242.6542367013,2627760.0,335.0,2633206.0,526641.2,1174326.9947875252,2627340.0,550.0,0,0,0,0,160,124,2.6572211312853247,2.277618112530278,0.0,34.0,7.357142857142858,11.27015898363832,127.01648351648353,0,2,0,5,12,0,0,0,0.0,7.923076923076923,3.857142857142857,12.666666666666666,0,0,0,0,4,43642,0,2,0,5,64240,65535,2,20,0,0,0,0,1.5855289579706858E15,792712.2731402164,1.585528960360794E15,1.585528957726933E15,No Label
10.0.2.15-192.168.56.101-39061-21-6,10.0.2.15,39061,192.168.56.101,21,6,29/03/2020 08:42:40 PM,2377586,7,6,26.0,76.0,15.0,0.0,3.714285714285714,6.447590912226719,34.0,0.0,12.666666666666668,14.678782874157744,42.90065638004261,5.46773071510347,198132.16666666666,685003.89934588,2373311.0,8.0,2377586.0,396264.3333333333,968719.8392731856,2373655.0,219.0,2376859.0,475371.8,1060980.4808931218,2373311.0,332.0,0,0,0,0,160,124,2.9441626927480224,2.5235680223554477,0.0,34.0,7.285714285714286,11.241602482458912,126.3736263736264,0,2,0,5,12,0,0,0,0.0,7.846153846153846,3.7142857142857144,12.666666666666666,0,0,0,0,4,64829,0,2,0,5,64240,65535,2,20,0,0,0,0,1.5855289605915125E15,715930.956998164,1.585528962750122E15,1.585528960372909E15,No Label
