Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-192.99.200.113-57198-80-6,10.0.2.15,57198,192.99.200.113,80,6,23/03/2020 06:38:34 PM,5574356,4,4,155.0,1260.0,155.0,0.0,38.75,77.5,1260.0,0.0,315.0,630.0,253.84098181027548,1.4351433600580947,796336.5714285714,1861676.8372504804,5006707.0,37.0,567649.0,189216.3333333333,173105.6433202954,340587.0,479.0,5347850.0,1782616.6666666667,2797320.7675891113,5006744.0,978.0,0,0,0,0,100,84,0.7175716800290474,0.7175716800290474,0.0,1260.0,157.22222222222226,416.706664746851,173644.44444444447,1,2,0,2,7,0,0,0,1.0,176.875,38.75,315.0,0,0,0,0,0,0,0,19,0,157,64240,65535,1,20,0,0,0,0,1.3208359295253238E15,6.470748098015956E14,1.585003114746489E15,5006670.0,No Label
10.0.2.15-163.7.134.123-41938-80-6,10.0.2.15,41938,163.7.134.123,80,6,23/03/2020 06:38:34 PM,63554793,5758,11058,659.0,1.6761968E7,335.0,0.0,0.11444946161861794,5.347821717053251,43400.0,0.0,1515.8227527581846,1487.5080621083162,263750.7921707809,264.5905872118882,3779.648706512041,11677.985647492193,1126369.0,2.0,6.3554793E7,11039.56800416884,19023.907988632174,1126369.0,39.0,6.3515838E7,5744.400651171197,14430.490424486637,1126910.0,13.0,0,0,0,0,115180,221164,90.59898912738178,173.9915980845064,0.0,43400.0,996.7667836118244,1404.3715041531188,1972259.3216772934,1,2,0,11013,16815,0,0,0,1.0,996.8260585156993,0.11444946161861758,1515.8227527581842,0,0,0,0,5528,268679,0,0,0,996,64240,65535,3,20,0,0,0,0,1.5850031470567745E15,1.789751307164043E7,1.585003178428976E15,1.585003114880366E15,No Label
10.0.2.15-192.99.200.113-57198-80-6,10.0.2.15,57198,192.99.200.113,80,6,23/03/2020 06:38:39 PM,58639104,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.034106933148228186,5.8639104E7,0.0,5.8639104E7,5.8639104E7,5.8639104E7,5.8639104E7,0.0,5.8639104E7,5.8639104E7,0,0,0,0,0,0,0,0,0,40,0,0.034106933148228186,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,63000,0,0,20,0,0,0,0,0,0,0,0,No Label
163.7.134.123-10.0.2.15-80-41938-6,163.7.134.123,80,10.0.2.15,41938,6,23/03/2020 06:39:38 PM,28339,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,70.57412047002364,28339.0,0.0,28339.0,28339.0,28339.0,28339.0,0.0,28339.0,28339.0,0,0,0,0,0,0,0,0,0,40,0,70.57412047002364,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,65535,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.2.15-192.168.56.101-41150-21-6,10.0.2.15,41150,192.168.56.101,21,6,23/03/2020 06:42:32 PM,1870929,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.603481478987177,935464.5,1319374.2795600118,1868403.0,2526.0,1870929.0,1870929.0,0.0,1870929.0,1870929.0,0,0,0,0,0,1,0,1,0,80,20,1.068987652658118,0.534493826329059,0.0,0.0,0.0,0.0,0.0,2,2,1,2,1,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,256,0,0,40,0,0,0,0,0,0,0,0,No Label
10.0.2.15-192.168.56.101-41154-1-6,10.0.2.15,41154,192.168.56.101,1,6,23/03/2020 06:42:32 PM,1875361,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5996920059657846,937680.5,1325814.608123059,1875173.0,188.0,1875361.0,1875361.0,0.0,1875361.0,1875361.0,0,0,0,0,0,1,0,1,0,80,20,1.0664613373105232,0.5332306686552616,0.0,0.0,0.0,0.0,0.0,2,0,1,2,1,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,40,0,0,0,0,0,0,0,0,No Label
192.168.56.101-10.0.2.15-21-41150-6,192.168.56.101,21,10.0.2.15,41150,6,23/03/2020 06:42:34 PM,1845556,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0836842664216095,1845556.0,0.0,1845556.0,1845556.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,0.5418421332108048,0.5418421332108048,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,256,0,20,0,0,0,0,0,0,0,0,No Label
192.168.56.101-10.0.2.15-1-41154-6,192.168.56.101,1,10.0.2.15,41154,6,23/03/2020 06:42:34 PM,1840904,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0864227575147862,1840904.0,0.0,1840904.0,1840904.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,0.5432113787573931,0.5432113787573931,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,65535,0,20,0,0,0,0,0,0,0,0,No Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,23/03/2020 06:38:38 PM,31999977,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.06250004492190729,3.1999977E7,0.0,3.1999977E7,3.1999977E7,3.1999977E7,3.1999977E7,0.0,3.1999977E7,3.1999977E7,0,0,0,0,0,0,0,0,0,0,0,0.06250004492190729,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.1999977E7,0.0,3.1999977E7,3.1999977E7,No Label
192.168.56.101-10.0.2.15-21-41150-6,192.168.56.101,21,10.0.2.15,41150,6,23/03/2020 06:42:36 PM,3325103,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6014851269268953,3325103.0,0.0,3325103.0,3325103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,0.30074256346344763,0.30074256346344763,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,256,0,20,0,0,0,0,0,0,0,0,No Label
