Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-172.217.167.106-56980-443-6,10.0.2.15,56980,172.217.167.106,443,6,30/03/2020 08:57:56 PM,363067,7,5,517.0,3067.0,517.0,0.0,73.85714285714286,195.4076325457705,1400.0,0.0,613.4,726.2904377726586,9871.456232596189,33.05175077878188,33006.09090909091,61204.96539571695,160579.0,5.0,363067.0,60511.166666666664,74214.48086031908,160751.0,332.0,165389.0,41347.25,79499.29738211527,160579.0,341.0,0,0,0,0,160,104,19.28018795428943,13.77156282449245,0.0,1400.0,275.69230769230774,522.054975491947,272541.3974358974,1,2,0,4,11,0,0,0,0.0,298.6666666666667,73.85714285714286,613.4,0,0,0,0,4,21779,0,43,0,255,64240,65535,1,20,0,0,0,0,1.585616276785088E15,94525.97267701998,1.585616276865235E15,1.585616276646433E15,No Label
172.217.167.106-10.0.2.15-443-56980-6,172.217.167.106,443,10.0.2.15,56980,6,30/03/2020 08:57:57 PM,54850,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,36.46308113035551,54850.0,0.0,54850.0,54850.0,54850.0,54850.0,0.0,54850.0,54850.0,0,0,0,0,0,0,0,0,0,40,0,36.46308113035551,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,65535,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.2.15-172.217.167.106-57024-443-6,10.0.2.15,57024,172.217.167.106,443,6,30/03/2020 08:57:57 PM,87422,4,2,517.0,0.0,517.0,0.0,129.25,258.5,0.0,0.0,0.0,0.0,5913.843197364507,68.6326096405939,17484.399999999998,24609.227025650358,53759.0,13.0,87422.0,29140.666666666668,26567.006461649635,53772.0,989.0,1106.0,1106.0,0.0,1106.0,1106.0,0,0,0,0,100,44,45.755073093729266,22.877536546864633,0.0,517.0,73.85714285714286,195.4076325457705,38184.14285714286,1,2,0,1,5,0,0,0,0.0,86.16666666666667,129.25,0.0,0,0,0,0,0,0,0,86,0,0,64240,65535,1,20,0,0,0,0,1.5856162770529132E15,31352.57399853054,1.585616277071449E15,1.585616277016714E15,No Label
10.0.2.15-172.217.167.67-39110-443-6,10.0.2.15,39110,172.217.167.67,443,6,30/03/2020 08:57:56 PM,495448,11,8,792.0,4360.0,517.0,0.0,71.99999999999999,158.08415480369942,1400.0,0.0,545.0,637.0243323453194,10398.669487009736,38.349130483925656,27524.888888888898,62038.836070062636,215641.0,5.0,495448.0,49544.8,77864.58538143142,215641.0,16.0,440936.0,62990.857142857145,89864.44634082411,215902.0,186.0,0,0,0,0,240,164,22.202128174904328,16.14700230902133,0.0,1400.0,257.59999999999997,469.97059258504333,220872.35789473678,1,2,0,8,18,0,0,0,0.0,271.1578947368421,72.0,545.0,0,0,0,0,8,11697,0,41,0,229,64240,65535,4,20,0,0,0,0,1.5856162769244915E15,171607.56864637628,1.585616277155127E15,1.585616276659708E15,No Label
10.0.2.15-172.217.167.67-39112-443-6,10.0.2.15,39112,172.217.167.67,443,6,30/03/2020 08:57:56 PM,501066,11,8,792.0,4361.0,517.0,0.0,71.99999999999999,158.08415480369942,1400.0,0.0,545.1250000000001,637.1219747538815,10284.074353478383,37.91915635864337,27837.0,62107.953542957104,209793.0,5.0,501066.0,50106.59999999999,77798.97684588574,209793.0,19.0,445069.0,63581.28571428572,89613.1421885471,209956.0,131.0,0,0,0,0,240,164,21.953195786583006,15.965960572060366,0.0,1400.0,257.65,470.05153972729414,220948.44999999998,1,2,0,8,18,0,0,0,0.0,271.2105263157895,72.0,545.125,0,0,0,0,8,11591,0,41,0,229,64240,65535,4,20,0,0,0,0,1.5856162769292032E15,172085.2115076913,1.585616277160773E15,1.585616276659744E15,No Label
10.0.2.15-172.217.167.67-39108-443-6,10.0.2.15,39108,172.217.167.67,443,6,30/03/2020 08:57:56 PM,635867,11,8,792.0,4361.0,517.0,0.0,71.99999999999999,158.08415480369942,1400.0,0.0,545.1250000000001,637.1219747538815,8103.895940503282,29.880462423745847,35325.94444444444,87181.58308716909,337101.0,6.0,635867.0,63586.700000000004,111201.49957227297,337101.0,19.0,579001.0,82714.42857142858,129543.08239070782,337258.0,193.0,0,0,0,0,240,164,17.299215087431808,12.581247336314041,0.0,1400.0,257.65,470.05153972729414,220948.44999999998,1,2,0,8,18,0,0,0,0.0,271.2105263157895,72.0,545.125,0,0,0,0,8,8905,0,41,0,229,64240,65535,4,20,0,0,0,0,1.5856162769836392E15,233204.2206560562,1.585616277295509E15,1.585616276659681E15,No Label
10.0.2.15-192.168.56.102-47954-80-6,10.0.2.15,47954,192.168.56.102,80,6,30/03/2020 08:57:56 PM,4974411,12,12,1321.0,19682.0,406.0,0.0,110.08333333333334,166.74938099017356,7100.0,0.0,1640.1666666666667,2309.35448805833,4222.208418242883,4.824691807733619,216278.7391304348,1033128.121282563,4955558.0,2.0,18853.0,1713.9090909090908,2415.8982782619573,7339.0,45.0,4973624.0,452147.63636363635,1493639.229394252,4955634.0,75.0,0,0,0,0,260,244,2.4123459038668096,2.4123459038668096,0.0,7100.0,840.12,1753.0009821256044,3073012.4433333334,1,2,0,8,23,0,0,0,1.0,875.125,110.08333333333333,1640.1666666666667,0,0,0,0,10,1177562,0,55,0,820,64240,65535,4,20,0,0,0,0,1.585616276708716E15,5718.92465982558,1.58561627671954E15,1.585616276700858E15,No Label
10.0.2.15-192.168.56.102-47952-80-6,10.0.2.15,47952,192.168.56.102,80,6,30/03/2020 08:57:56 PM,4974440,10,10,1058.0,16519.0,395.0,0.0,105.8,173.21585762664262,5680.0,0.0,1651.8999999999999,2330.8845459753397,3533.4630631789705,4.020553067279935,261812.6315789474,1137187.0487996156,4957800.0,2.0,16640.0,1848.888888888889,2772.1463004522525,8218.0,77.0,4973634.0,552626.0,1651943.5482543737,4957803.0,79.0,0,0,0,0,220,204,2.0102765336399675,2.0102765336399675,0.0,5680.0,836.9999999999999,1758.6210791412686,3092748.1,1,2,0,6,19,0,0,0,1.0,878.85,105.8,1651.9,0,0,0,0,8,1122055,0,52,0,825,64240,65535,3,20,0,0,0,0,1.585616276708755E15,6293.649500787576,1.585616276717475E15,1.585616276700845E15,No Label
10.0.2.15-192.168.56.102-47950-80-6,10.0.2.15,47950,192.168.56.102,80,6,30/03/2020 08:57:56 PM,4974455,8,8,954.0,9848.0,373.0,0.0,119.25,166.5487916497745,3825.0,0.0,1231.0,1762.0529422887869,2171.4941636822527,3.2164327549450142,331630.3333333333,1279303.0543618922,4956028.0,2.0,18427.0,2632.4285714285716,2882.6747334806296,6684.0,109.0,4973629.0,710518.4285714285,1872098.3008692728,4956034.0,210.0,0,0,0,0,180,164,1.6082163774725071,1.6082163774725071,0.0,3825.0,635.4117647058823,1306.2570123650787,1706307.3823529412,1,2,0,6,15,0,0,0,1.0,675.125,119.25,1231.0,0,0,0,0,6,621662,0,59,0,615,64240,65535,3,20,0,0,0,0,1.5856162767084085E15,5974.72695467578,1.585616276719223E15,1.585616276700832E15,No Label
10.0.2.15-192.168.56.102-47948-80-6,10.0.2.15,47948,192.168.56.102,80,6,30/03/2020 08:57:56 PM,4974492,15,16,1769.0,31124.0,379.0,0.0,117.93333333333332,174.1360168975746,7240.0,0.0,1945.25,2526.4594857890224,6612.333480484038,6.2317921106315985,165816.4,905285.6349681555,4958985.0,2.0,15507.0,1107.642857142857,1460.2580702972102,4045.0,34.0,4973720.0,331581.3333333333,1280293.8340805466,4959565.0,36.0,0,0,0,0,320,324,3.01538327933787,3.2164088312937285,0.0,7240.0,1027.9062500000002,1992.8190012072298,3971327.571572581,1,2,0,11,30,0,0,0,1.0,1061.0645161290322,117.93333333333334,1945.25,0,0,0,0,14,2340472,0,57,0,1004,64240,65535,5,20,0,0,0,0,1.5856162767093362E15,4828.9220432630855,1.585616276716261E15,1.585616276700805E15,No Label
