Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-192.168.56.101-42418-21-6,10.0.2.15,42418,192.168.56.101,21,6,26/03/2020 11:34:49 PM,10056247,12,15,81.0,188.0,15.0,0.0,6.75,7.149380138420139,34.0,0.0,12.533333333333333,14.549750447868105,26.74954185194536,2.6848982527974896,386778.73076923075,1091660.115175252,3586842.0,4.0,6468672.0,588061.0909090909,1305409.5059890174,3287773.0,123.0,1.0055413E7,718243.7857142857,1426678.711060503,3586842.0,110.0,0,0,0,0,260,304,1.1932881123544399,1.49161014044305,0.0,34.0,9.607142857142856,11.93295867107159,142.39550264550266,1,2,0,13,26,0,0,0,1.0,9.962962962962964,6.75,12.533333333333333,0,0,0,0,4,18334,0,3,0,6,64240,65535,6,20,0,0,0,0,1.585280092693173E15,2948456.093636352,1.585280099882005E15,1.585280089826529E15,No Label
10.0.2.15-192.168.56.101-42418-21-6,10.0.2.15,42418,192.168.56.101,21,6,26/03/2020 11:34:59 PM,438,2,0,15.0,0.0,15.0,0.0,7.5,10.606601717798213,0,0,0,0,34246.57534246575,4566.2100456621,438.0,0.0,438.0,438.0,438.0,438.0,0.0,438.0,438.0,0,0,0,0,0,1,0,0,0,40,0,4566.2100456621,0.0,0.0,15.0,10.0,8.660254037844387,75.0,1,0,0,1,2,0,0,0,0.0,15.0,7.5,0.0,0,0,0,0,0,0,1,7,0,0,64074,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.2.15-192.168.56.101-42424-21-6,10.0.2.15,42424,192.168.56.101,21,6,26/03/2020 11:34:49 PM,10061918,13,15,90.0,188.0,17.0,0.0,6.923076923076923,7.825828374273854,34.0,0.0,12.533333333333333,14.549750447868105,27.628927208510344,2.7827696469003227,372663.62962962966,1074161.657011613,3586105.0,3.0,6475352.0,539612.6666666666,1257577.108423057,3292220.0,86.0,1.0061643E7,718688.7857142858,1428229.8774872546,3586105.0,136.0,0,0,0,0,280,304,1.292000193203721,1.4907694536966014,0.0,34.0,9.586206896551724,11.971744237934677,143.32266009852216,1,2,0,13,27,0,0,0,1.0,9.928571428571429,6.923076923076923,12.533333333333333,0,0,0,0,4,33521,0,3,0,6,64240,65535,6,20,0,0,0,0,1.5852800928440752E15,2977130.8309259135,1.585280099891543E15,1.585280089830112E15,No Label
10.0.2.15-192.168.56.101-42422-21-6,10.0.2.15,42422,192.168.56.101,21,6,26/03/2020 11:34:49 PM,10063230,12,15,87.0,188.0,15.0,0.0,7.249999999999999,7.593358341938757,34.0,0.0,12.533333333333333,14.549750447868105,27.327210050848482,2.68303516862876,387047.30769230763,1092801.8384697845,3586457.0,3.0,6476292.0,588753.8181818181,1307701.3873227956,3294378.0,93.0,1.0062865E7,718776.0714285716,1428215.609033953,3586457.0,200.0,0,0,0,0,260,304,1.1924600749461156,1.4905750936826445,0.0,34.0,9.821428571428571,11.99399099990575,143.85582010582013,1,2,0,13,26,0,0,0,1.0,10.185185185185185,7.25,12.533333333333333,0,0,0,0,4,26340,0,3,0,6,64240,65535,6,20,0,0,0,0,1.585280092700015E15,2951349.7754832413,1.585280099891934E15,1.585280089829193E15,No Label
10.0.2.15-192.168.56.101-42420-21-6,10.0.2.15,42420,192.168.56.101,21,6,26/03/2020 11:34:49 PM,10066172,13,15,88.0,188.0,15.0,0.0,6.769230769230769,7.628388276189649,34.0,0.0,12.533333333333333,14.549750447868105,27.418565865951823,2.781593638574823,372821.18518518517,1073859.4504070545,3586941.0,3.0,6478692.0,539891.0,1256744.220471366,3285391.0,57.0,1.006551E7,718965.0,1427710.9966806201,3586941.0,75.0,0,0,0,0,280,304,1.2914541893383105,1.490139449236512,0.0,34.0,9.517241379310345,11.933209033303333,142.40147783251228,1,2,0,13,27,0,0,0,1.0,9.857142857142858,6.769230769230769,12.533333333333333,0,0,0,0,4,20120,0,3,0,6,64240,65535,6,20,0,0,0,0,1.585280092841271E15,2978078.792437307,1.585280099892364E15,1.585280089826749E15,No Label
10.0.2.15-192.168.56.101-42414-21-6,10.0.2.15,42414,192.168.56.101,21,6,26/03/2020 11:34:49 PM,10076147,13,15,88.0,188.0,17.0,0.0,6.769230769230769,7.67196026833914,34.0,0.0,12.533333333333333,14.549750447868105,27.391422534824073,2.778839967300993,373190.6296296296,1074483.8996251659,3587428.0,1.0,6488496.0,540708.0,1257822.9996422029,3291330.0,123.0,1.0075076E7,719648.2857142857,1428480.228507391,3587428.0,94.0,0,0,0,0,280,304,1.2901756991040325,1.4886642681969604,0.0,34.0,9.517241379310342,11.945174428120612,142.6871921182266,1,2,0,13,27,0,0,0,1.0,9.857142857142858,6.769230769230769,12.533333333333333,0,0,0,0,4,14296,0,3,0,6,64240,65535,6,20,0,0,0,0,1.585280092837451E15,2982111.2076612553,1.585280099892889E15,1.585280089817013E15,No Label
10.0.2.15-192.168.56.101-42426-21-6,10.0.2.15,42426,192.168.56.101,21,6,26/03/2020 11:34:49 PM,10063298,11,15,87.0,188.0,15.0,0.0,7.909090909090909,7.595453185354321,34.0,0.0,12.533333333333333,14.549750447868105,27.327025394656904,2.583646037313016,402531.9200000001,1112695.2716645934,3589347.0,3.0,6473499.0,647349.9,1362354.3813382976,3291122.0,31.0,1.0063013E7,718786.6428571428,1428603.922428553,3589347.0,108.0,0,0,0,0,240,304,1.093081015786276,1.49056502152674,0.0,34.0,10.185185185185183,12.064050337316674,145.54131054131057,1,2,0,13,25,0,0,0,1.0,10.576923076923077,7.909090909090909,12.533333333333333,0,0,0,0,4,45577,0,3,0,7,64240,65535,6,20,0,0,0,0,1.585280092681478E15,3014914.591130682,1.585280099892972E15,1.58528008983013E15,No Label
10.0.2.15-192.168.56.101-42416-21-6,10.0.2.15,42416,192.168.56.101,21,6,26/03/2020 11:34:49 PM,10071064,11,15,86.0,188.0,15.0,0.0,7.818181818181818,7.520880025877049,34.0,0.0,12.533333333333333,14.549750447868105,27.20665860131561,2.5816537358912623,402842.56,1112676.1190228148,3597233.0,5.0,6472984.0,647298.4,1361155.6431510034,3289200.0,126.0,1.0070341E7,719310.0714285714,1428461.168881204,3597233.0,256.0,0,0,0,0,240,304,1.0922381190309187,1.4894156168603436,0.0,34.0,10.148148148148149,12.053418614024002,145.2849002849003,1,2,0,13,25,0,0,0,1.0,10.538461538461538,7.818181818181818,12.533333333333333,0,0,0,0,4,16794,0,3,0,7,64240,65535,6,20,0,0,0,0,1.5852800926738865E15,3015554.002389758,1.585280099893004E15,1.585280089822832E15,No Label
10.0.2.15-192.168.56.101-42430-21-6,10.0.2.15,42430,192.168.56.101,21,6,26/03/2020 11:34:49 PM,10069973,13,15,85.0,188.0,15.0,0.0,6.538461538461538,7.378068679261358,34.0,0.0,12.533333333333333,14.549750447868105,27.110301090181675,2.780543701557095,372961.9629629631,1074847.707320848,3596079.0,2.0,6473474.0,539456.1666666667,1256707.6663945673,3289286.0,57.0,1.0069743E7,719267.3571428572,1429109.987013521,3596079.0,158.0,0,0,0,0,280,304,1.2909667185800797,1.4895769829770151,0.0,34.0,9.413793103448274,11.890924634777177,141.39408866995072,1,2,0,13,27,0,0,0,1.0,9.75,6.538461538461538,12.533333333333333,0,0,0,0,4,34308,0,3,0,6,64240,65535,6,20,0,0,0,0,1.5852800928459928E15,2976638.473381861,1.585280099900855E15,1.58528008983131E15,No Label
10.0.2.15-192.168.56.101-42428-21-6,10.0.2.15,42428,192.168.56.101,21,6,26/03/2020 11:34:49 PM,10070740,12,15,84.0,188.0,15.0,0.0,7.0,7.36082999272624,34.0,0.0,12.533333333333333,14.549750447868105,27.0089387671611,2.681034362916727,387336.1538461538,1093723.1316291592,3597216.0,2.0,6473009.0,588455.3636363636,1306539.8591254896,3290744.0,45.0,1.0070475E7,719319.642857143,1429433.2240281922,3597216.0,81.0,0,0,0,0,260,304,1.1915708279629897,1.489463534953737,0.0,34.0,9.714285714285715,11.95936683217197,143.026455026455,1,2,0,13,26,0,0,0,1.0,10.074074074074074,7.0,12.533333333333333,0,0,0,0,4,33765,0,3,0,6,64240,65535,6,20,0,0,0,0,1.5852800927016025E15,2950712.2434850275,1.58528009990114E15,1.585280089830922E15,No Label
