Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-192.168.56.101-42826-21-6,10.0.2.15,42826,192.168.56.101,21,6,29/03/2020 07:13:42 PM,8750745,15,15,86.0,188.0,15.0,0.0,5.733333333333333,7.294485849566357,34.0,0.0,12.533333333333333,14.549750447868105,31.31161975351813,3.4282795350567294,301749.82758620684,905619.2178189885,3106758.0,4.0,8750682.0,625048.7142857143,1244605.0286711245,3106958.0,89.0,8750380.0,625027.142857143,1244539.0403858128,3106758.0,105.0,0,0,0,0,320,304,1.7141397675283647,1.7141397675283647,0.0,34.0,8.838709677419352,11.741938437905809,137.8731182795699,1,2,0,13,29,0,0,0,1.0,9.133333333333333,5.733333333333333,12.533333333333333,0,0,0,0,4,28529,0,2,0,6,64240,65535,6,20,0,0,0,0,1.585523625269503E15,2621300.6581229363,1.585523631247519E15,1.585523622497049E15,No Label
10.0.2.15-192.168.56.101-42818-21-6,10.0.2.15,42818,192.168.56.101,21,6,29/03/2020 07:13:42 PM,8759928,14,15,88.0,188.0,17.0,0.0,6.285714285714286,7.589755964745876,34.0,0.0,12.533333333333333,14.549750447868105,31.50710827760228,3.3105294929364715,312854.5714285714,920777.1212171785,3104660.0,2.0,5654337.0,434949.00000000006,1062028.579109966,3021477.0,42.0,8759143.0,625653.0714285714,1245046.349991744,3104660.0,102.0,0,0,0,0,300,304,1.5981866517624346,1.712342841174037,0.0,34.0,9.2,11.865336358340278,140.7862068965517,1,2,0,13,28,0,0,0,1.0,9.517241379310345,6.285714285714286,12.533333333333333,0,0,0,0,4,22400,0,3,0,6,64240,65535,6,20,0,0,0,0,1.5855236251561392E15,2612060.27274262,1.585523631247587E15,1.585523622488594E15,No Label
10.0.2.15-192.168.56.101-42826-21-6,10.0.2.15,42826,192.168.56.101,21,6,29/03/2020 07:13:51 PM,434,2,1,15.0,0.0,15.0,0.0,7.5,10.606601717798213,0.0,0.0,0.0,0.0,34562.21198156682,6912.442396313364,217.0,148.49242404917499,322.0,112.0,434.0,434.0,0.0,434.0,434.0,0,0,0,0,0,1,0,0,0,40,20,4608.294930875576,2304.147465437788,0.0,15.0,7.5,8.660254037844387,75.0,1,0,0,1,3,0,0,0,0.0,10.0,7.5,0.0,0,0,0,0,0,0,0,5,0,0,64074,65535,0,20,0,0,0,0,0,0,0,0,No Label
10.0.2.15-192.168.56.101-42818-21-6,10.0.2.15,42818,192.168.56.101,21,6,29/03/2020 07:13:51 PM,526,2,1,15.0,0.0,15.0,0.0,7.5,10.606601717798213,0.0,0.0,0.0,0.0,28517.110266159696,5703.42205323194,263.0,4.242640687119285,266.0,260.0,526.0,526.0,0.0,526.0,526.0,0,0,0,0,0,1,0,0,0,40,20,3802.2813688212927,1901.1406844106464,0.0,15.0,7.5,8.660254037844387,75.0,1,0,0,1,3,0,0,0,0.0,10.0,7.5,0.0,0,0,0,0,0,0,0,5,0,0,64074,65535,0,20,0,0,0,0,0,0,0,0,No Label
10.0.2.15-192.168.56.101-42830-21-6,10.0.2.15,42830,192.168.56.101,21,6,29/03/2020 07:13:42 PM,8772996,15,15,81.0,188.0,15.0,0.0,5.3999999999999995,6.9261409580969815,34.0,0.0,12.533333333333333,14.549750447868105,30.662273184668045,3.4195843700373287,302517.1034482758,906821.7645423708,3114096.0,3.0,8772943.0,626638.7857142857,1247174.1012693876,3120177.0,49.0,8772798.0,626628.4285714285,1245972.59020671,3114096.0,123.0,0,0,0,0,320,304,1.7097921850186644,1.7097921850186644,0.0,34.0,8.67741935483871,11.682999320306392,136.4924731182796,1,2,0,13,29,0,0,0,1.0,8.966666666666667,5.4,12.533333333333333,0,0,0,0,4,19728,0,2,0,6,64240,65535,6,20,0,0,0,0,1.5855236252804665E15,2625175.149805859,1.58552363127169E15,1.585523622504841E15,No Label
10.0.2.15-192.168.56.101-42832-21-6,10.0.2.15,42832,192.168.56.101,21,6,29/03/2020 07:13:42 PM,8772491,12,15,87.0,188.0,15.0,0.0,7.25,7.593358341938757,34.0,0.0,12.533333333333333,14.549750447868105,31.34799454339708,3.0778031006244406,337403.5,953845.144791931,3120379.0,3.0,5651913.0,513810.2727272727,1144913.8038040323,3029542.0,83.0,8772187.0,626584.7857142857,1246807.2040468424,3120379.0,29.0,0,0,0,0,260,304,1.367912489166418,1.7098906114580226,0.0,34.0,9.821428571428573,11.99399099990575,143.85582010582013,1,2,0,13,26,0,0,0,1.0,10.185185185185185,7.25,12.533333333333333,0,0,0,0,4,18656,0,3,0,6,64240,65535,6,20,0,0,0,0,1.585523624921871E15,2564488.684204005,1.585523631277688E15,1.585523622505408E15,No Label
10.0.2.15-192.168.56.101-42828-21-6,10.0.2.15,42828,192.168.56.101,21,6,29/03/2020 07:13:42 PM,8773908,14,15,84.0,188.0,15.0,0.0,6.000000000000001,7.232405706795789,34.0,0.0,12.533333333333333,14.549750447868105,31.001008900480834,3.3052546254189124,313353.8571428572,922416.4218968654,3120195.0,4.0,5653520.0,434886.1538461538,1061799.7485808271,3023771.0,64.0,8773662.0,626690.142857143,1247273.281349043,3120195.0,26.0,0,0,0,0,300,304,1.595640163995337,1.7096144614235753,0.0,34.0,9.066666666666666,11.79986362672024,139.23678160919536,1,2,0,13,28,0,0,0,1.0,9.379310344827585,6.0,12.533333333333333,0,0,0,0,4,20915,0,2,0,6,64240,65535,6,20,0,0,0,0,1.5855236251693452E15,2612581.315946462,1.585523631277701E15,1.585523622504001E15,No Label
10.0.2.15-192.168.56.101-42824-21-6,10.0.2.15,42824,192.168.56.101,21,6,29/03/2020 07:13:42 PM,8787159,12,15,88.0,188.0,16.0,0.0,7.333333333333333,7.691002220225603,34.0,0.0,12.533333333333333,14.549750447868105,31.409469203868962,3.0726654655958767,337967.6538461538,955004.9791931744,3123908.0,2.0,5663031.0,514820.99999999994,1145509.5458027401,3033257.0,97.0,8786851.0,627632.2142857143,1248252.1018511124,3123908.0,55.0,0,0,0,0,260,304,1.3656290958203896,1.707036369775487,0.0,34.0,9.857142857142856,12.011458374199707,144.27513227513228,1,2,0,13,26,0,0,0,1.0,10.222222222222221,7.333333333333333,12.533333333333333,0,0,0,0,4,17126,0,3,0,6,64240,65535,6,20,0,0,0,0,1.5855236249134502E15,2568763.579306503,1.585523631277679E15,1.585523622490762E15,No Label
10.0.2.15-192.168.56.101-42820-21-6,10.0.2.15,42820,192.168.56.101,21,6,29/03/2020 07:13:42 PM,8789310,12,15,90.0,188.0,17.0,0.0,7.499999999999999,7.879778492502761,34.0,0.0,12.533333333333333,14.549750447868105,31.629331540246046,3.071913494915983,338050.38461538457,955491.6875946573,3124801.0,2.0,5664357.0,514941.54545454547,1146157.9439103815,3033032.0,101.0,8788616.0,627758.2857142858,1248944.6207360856,3124801.0,14.0,0,0,0,0,260,304,1.3652948866293257,1.7066186082866572,0.0,34.0,9.928571428571429,12.045987718149979,145.10582010582013,1,2,0,13,26,0,0,0,1.0,10.296296296296296,7.5,12.533333333333333,0,0,0,0,4,19134,0,3,0,6,64240,65535,6,20,0,0,0,0,1.5855236249121532E15,2569890.4448715043,1.585523631277766E15,1.585523622488612E15,No Label
10.0.2.15-192.168.56.101-42822-21-6,10.0.2.15,42822,192.168.56.101,21,6,29/03/2020 07:13:42 PM,8789240,11,15,87.0,188.0,15.0,0.0,7.909090909090909,7.595453185354321,34.0,0.0,12.533333333333333,14.549750447868105,31.288257005156307,2.9581624804875055,351569.6,972422.6488577811,3124743.0,2.0,5664355.0,566435.5,1194147.5616772037,3032722.0,108.0,8788678.0,627762.7142857143,1248610.6045148082,3124743.0,8.0,0,0,0,0,240,304,1.2515302802062522,1.706632200281253,0.0,34.0,10.185185185185187,12.064050337316674,145.54131054131057,1,2,0,13,25,0,0,0,1.0,10.576923076923077,7.909090909090909,12.533333333333333,0,0,0,0,4,17509,0,3,0,7,64240,65535,6,20,0,0,0,0,1.585523624903641E15,2626833.2127083917,1.585523631277789E15,1.5855236224887E15,No Label
