Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-192.168.56.101-38488-21-6,10.0.2.15,38488,192.168.56.101,21,6,25/03/2020 09:20:04 PM,367,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8174.386920980927,183.5,109.60155108391487,261.0,106.0,0,0,0,0,0,261.0,261.0,0.0,261.0,261.0,0,0,0,0,20,40,2724.7956403269754,5449.591280653951,0.0,0.0,0.0,0.0,0.0,0,0,3,0,2,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1.585185604467062E15,0.0,1.585185604467062E15,1.585185604467062E15,No Label
192.168.56.101-10.0.2.15-21-38470-6,192.168.56.101,21,10.0.2.15,38470,6,25/03/2020 09:19:58 PM,163,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,12269.938650306749,163.0,0.0,163.0,163.0,163.0,163.0,0.0,163.0,163.0,0,0,0,0,0,0,0,0,0,40,0,12269.938650306749,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,65535,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.56.101-10.0.2.15-21-38492-6,192.168.56.101,21,10.0.2.15,38492,6,25/03/2020 09:20:04 PM,810,6,3,42.0,0.0,30.0,0.0,7.0,11.916375287812984,0.0,0.0,0.0,0.0,51851.851851851854,11111.111111111111,101.25000000000001,167.0686343136514,425.0,6.0,810.0,162.0,194.2318202561053,425.0,8.0,52.0,26.0,9.899494936611665,33.0,19.0,0,0,0,0,120,60,7407.407407407408,3703.703703703704,0.0,30.0,4.2,9.589345939924973,91.95555555555556,0,0,5,3,6,0,0,0,0.0,4.666666666666667,7.0,0.0,0,0,0,0,0,0,0,4,0,0,65535,0,3,20,0,0,0,0,1.5851856044944875E15,228.18869495650387,1.58518560449483E15,1.58518560449405E15,No Label
192.168.56.101-10.0.2.15-21-38450-6,192.168.56.101,21,10.0.2.15,38450,6,25/03/2020 09:19:49 PM,112,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,17857.14285714286,112.0,0.0,112.0,112.0,112.0,112.0,0.0,112.0,112.0,0,0,0,0,0,0,0,0,0,40,0,17857.14285714286,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,65535,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.56.101-10.0.2.15-21-38490-6,192.168.56.101,21,10.0.2.15,38490,6,25/03/2020 09:20:04 PM,1647,6,3,52.0,0.0,40.0,0.0,8.666666666666668,15.832456116050556,0.0,0.0,0.0,0.0,31572.556162720095,5464.48087431694,205.875,331.42352597760555,958.0,6.0,1647.0,329.4,377.5861491103719,958.0,32.0,361.0,180.5,210.0107140124046,329.0,32.0,0,0,0,0,120,60,3642.9872495446266,1821.4936247723133,0.0,40.0,5.2,12.620970203945848,159.2888888888889,0,0,5,3,6,0,0,0,0.0,5.777777777777778,8.666666666666666,0.0,0,0,0,0,0,0,0,5,0,0,65535,0,3,20,0,0,0,0,1.5851856044901195E15,512.4157740265517,1.585185604490707E15,1.585185604489093E15,No Label
192.168.56.101-10.0.2.15-21-38432-6,192.168.56.101,21,10.0.2.15,38432,6,25/03/2020 09:19:49 PM,112,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,17857.14285714286,112.0,0.0,112.0,112.0,112.0,112.0,0.0,112.0,112.0,0,0,0,0,0,0,0,0,0,40,0,17857.14285714286,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,65535,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.56.101-10.0.2.15-21-38430-6,192.168.56.101,21,10.0.2.15,38430,6,25/03/2020 09:19:40 PM,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,399999.99999999994,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0,0,0,0,0,0,0,0,0,40,0,399999.99999999994,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,65535,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.56.101-10.0.2.15-21-38410-6,192.168.56.101,21,10.0.2.15,38410,6,25/03/2020 09:19:40 PM,156,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,12820.51282051282,156.0,0.0,156.0,156.0,156.0,156.0,0.0,156.0,156.0,0,0,0,0,0,0,0,0,0,40,0,12820.51282051282,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,65535,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.56.101-10.0.2.15-21-38452-6,192.168.56.101,21,10.0.2.15,38452,6,25/03/2020 09:19:58 PM,15,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,133333.33333333334,15.0,0.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0,0,0,0,0,0,0,0,0,40,0,133333.33333333334,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,65535,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.56.101-10.0.2.15-21-38436-6,192.168.56.101,21,10.0.2.15,38436,6,25/03/2020 09:19:49 PM,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,399999.99999999994,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0,0,0,0,0,0,0,0,0,40,0,399999.99999999994,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,65535,0,0,20,0,0,0,0,0,0,0,0,No Label
