Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-192.168.56.101-46567-21-6,10.0.2.15,46567,192.168.56.101,21,6,29/03/2020 09:00:12 PM,128,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15625.0,128.0,0.0,128.0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7812.5,7812.5,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64164,65535,0,20,0,0,0,0,0,0,0,0,No Label
10.0.2.15-192.168.56.101-45342-21-6,10.0.2.15,45342,192.168.56.101,21,6,29/03/2020 09:00:27 PM,7247010,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5519517704542977,2415670.0,1645229.426270695,4223873.0,1007008.0,7247010.0,2415670.0,1645229.426270695,4223873.0,1007008.0,0,0,0,0,0,0,0,0,0,160,0,0.5519517704542977,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,1.585530031302729E15,2273172.939033016,1.585530032910105E15,1.585530029695353E15,No Label
10.0.2.15-192.168.56.101-42299-21-6,10.0.2.15,42299,192.168.56.101,21,6,29/03/2020 09:00:12 PM,97,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20618.556701030928,97.0,0.0,97.0,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10309.278350515464,10309.278350515464,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64164,65535,0,20,0,0,0,0,0,0,0,0,No Label
10.0.2.15-192.168.56.101-45356-21-6,10.0.2.15,45356,192.168.56.101,21,6,29/03/2020 09:00:37 PM,7252948,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5514998866667733,2417649.3333333335,1642255.769531145,4223476.0,1013491.0,7252948.0,2417649.3333333335,1642255.769531145,4223476.0,1013491.0,0,0,0,0,0,0,0,0,0,160,0,0.5514998866667733,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,1.585530041539717E15,2277581.042706933,1.58553004315021E15,1.585530039929224E15,No Label
10.0.2.15-192.168.56.101-44045-21-6,10.0.2.15,44045,192.168.56.101,21,6,29/03/2020 09:00:12 PM,37,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54054.05405405405,37.0,0.0,37.0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,27027.027027027027,27027.027027027027,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64164,65535,0,20,0,0,0,0,0,0,0,0,No Label
10.0.2.15-192.168.56.101-34547-21-6,10.0.2.15,34547,192.168.56.101,21,6,29/03/2020 09:00:12 PM,218,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9174.311926605504,218.0,0.0,218.0,218.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4587.155963302752,4587.155963302752,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64164,65535,0,20,0,0,0,0,0,0,0,0,No Label
10.0.2.15-192.168.56.101-40677-21-6,10.0.2.15,40677,192.168.56.101,21,6,29/03/2020 09:00:12 PM,77,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25974.025974025975,77.0,0.0,77.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,12987.012987012988,12987.012987012988,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64164,65535,0,20,0,0,0,0,0,0,0,0,No Label
10.0.2.15-192.168.56.101-41127-21-6,10.0.2.15,41127,192.168.56.101,21,6,29/03/2020 09:00:12 PM,145,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13793.103448275862,145.0,0.0,145.0,145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,6896.551724137931,6896.551724137931,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64164,65535,0,20,0,0,0,0,0,0,0,0,No Label
10.0.2.15-192.168.56.101-45312-21-6,10.0.2.15,45312,192.168.56.101,21,6,29/03/2020 09:00:17 PM,7122366,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5616111275382366,2374122.0,1573651.2084763255,4096012.0,1010485.0,7122366.0,2374122.0,1573651.2084763255,4096012.0,1010485.0,0,0,0,0,0,0,0,0,0,160,0,0.5616111275382366,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,1.585530021124964E15,2185404.016925017,1.585530022670278E15,1.58553001957965E15,No Label
10.0.2.15-192.168.56.101-45412-21-6,10.0.2.15,45412,192.168.56.101,21,6,29/03/2020 09:00:59 PM,2963854,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0121956074759417,1481927.0,672888.4698313681,1957731.0,1006123.0,2963854.0,1481927.0,672888.4698313681,1957731.0,1006123.0,0,0,0,0,0,0,0,0,0,120,0,1.0121956074759417,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,1.585530061701749E15,0.0,1.585530061701749E15,1.585530061701749E15,No Label
