Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-192.168.56.101-43098-21-6,10.0.2.15,43098,192.168.56.101,21,6,29/03/2020 08:22:30 PM,3272206,8,6,28.0,76.0,15.0,0.0,3.5,6.502746672423453,34.0,0.0,12.666666666666668,14.678782874157744,31.782840077916852,4.278459241258038,251708.1538461539,904317.858090639,3261456.0,1.0,3272206.0,467458.0,1232107.699791432,3261613.0,116.0,3270332.0,654066.4,1457576.3306106133,3261456.0,318.0,0,0,0,0,180,124,2.4448338521474504,1.8336253891105876,0.0,34.0,6.933333333333334,11.061301051521061,122.35238095238094,1,2,0,5,13,0,0,0,0.0,7.428571428571429,3.5,12.666666666666666,0,0,0,0,4,23569,0,2,0,5,64240,65535,2,20,0,0,0,0,1.5855277511541038E15,984462.531443026,1.585527754122355E15,1.585527750850908E15,No Label
10.0.2.15-192.168.56.101-43096-21-6,10.0.2.15,43096,192.168.56.101,21,6,29/03/2020 08:22:30 PM,3272312,8,6,30.0,76.0,15.0,0.0,3.75,6.943650748294136,34.0,0.0,12.666666666666668,14.678782874157744,32.39299920056523,4.278320649131256,251716.30769230772,905107.5891926131,3264093.0,1.0,3272312.0,467473.14285714284,1233298.7261838915,3264329.0,156.0,3270351.0,654070.2,1459048.5931769717,3264093.0,252.0,0,0,0,0,180,124,2.4447546566464324,1.8335659924848242,0.0,34.0,7.066666666666666,11.151339872516708,124.35238095238095,1,2,0,5,13,0,0,0,0.0,7.571428571428571,3.75,12.666666666666666,0,0,0,0,4,91603,0,2,0,5,64240,65535,2,20,0,0,0,0,1.585527751153354E15,984662.3779574571,1.585527754122213E15,1.585527750850898E15,No Label
10.0.2.15-192.168.56.101-43100-21-6,10.0.2.15,43100,192.168.56.101,21,6,29/03/2020 08:22:30 PM,3267433,8,6,30.0,76.0,15.0,0.0,3.75,6.943650748294136,34.0,0.0,12.666666666666668,14.678782874157744,32.441369111470685,4.284709127930091,251341.0,904438.9882958754,3261495.0,4.0,3267433.0,466776.14285714284,1232425.5162617913,3261654.0,279.0,3264691.0,652938.2,1458227.6939667892,3261495.0,161.0,0,0,0,0,180,124,2.448405215960052,1.8363039119700388,0.0,34.0,7.066666666666666,11.151339872516708,124.35238095238095,1,2,0,5,13,0,0,0,0.0,7.571428571428571,3.75,12.666666666666666,0,0,0,0,4,38461,0,2,0,5,64240,65535,2,20,0,0,0,0,1.5855277511562638E15,983750.609020682,1.585527754122381E15,1.585527750857414E15,No Label
192.168.56.101-10.0.2.15-21-43100-6,192.168.56.101,21,10.0.2.15,43100,6,29/03/2020 08:22:34 PM,542,5,3,64.0,0.0,30.0,0.0,12.8,13.754999091239519,0.0,0.0,0.0,0.0,118081.18081180812,14760.147601476016,77.42857142857142,160.22989436312764,440.0,5.0,542.0,135.5,203.76865967725917,440.0,21.0,64.0,32.0,16.97056274847714,44.0,20.0,0,0,0,0,100,60,9225.09225092251,5535.055350553506,0.0,30.0,7.111111111111111,11.83685393637647,140.11111111111111,1,0,3,3,5,0,0,0,0.0,8.0,12.8,0.0,0,0,0,0,0,0,0,8,0,0,65535,0,3,20,0,0,0,0,1.5855277541255425E15,211.45761309401152,1.585527754125658E15,1.585527754125166E15,No Label
10.0.2.15-192.168.56.101-43106-21-6,10.0.2.15,43106,192.168.56.101,21,6,29/03/2020 08:22:30 PM,3272736,8,6,29.0,76.0,15.0,0.0,3.6249999999999996,6.7175144212722016,34.0,0.0,12.666666666666668,14.678782874157744,32.083247778005926,4.27776637040079,251748.92307692312,905681.0718768005,3266034.0,2.0,3272736.0,467533.71428571426,1234057.5637786263,3266110.0,91.0,3272245.0,654449.0,1459921.9825531773,3266034.0,166.0,0,0,0,0,180,124,2.4444379259433084,1.8333284444574813,0.0,34.0,7.0,11.103410029613169,123.2857142857143,1,2,0,5,13,0,0,0,0.0,7.5,3.625,12.666666666666666,0,0,0,0,4,96287,0,2,0,5,64240,65535,2,20,0,0,0,0,1.5855277511615378E15,985217.0496337871,1.58552775413207E15,1.585527750859573E15,No Label
10.0.2.15-192.168.56.101-43102-21-6,10.0.2.15,43102,192.168.56.101,21,6,29/03/2020 08:22:30 PM,3274455,8,6,31.0,76.0,16.0,0.0,3.8749999999999996,7.180081575342402,34.0,0.0,12.666666666666668,14.678782874157744,32.67719360931819,4.275520659163128,251881.15384615381,906496.2802944317,3268882.0,4.0,3274455.0,467779.2857142857,1235220.4110795658,3268995.0,89.0,3273738.0,654747.6,1461345.896660438,3268882.0,204.0,0,0,0,0,180,124,2.44315466237893,1.8323659967841976,0.0,34.0,7.133333333333333,11.205015883629123,125.55238095238096,1,2,0,5,13,0,0,0,0.0,7.642857142857143,3.875,12.666666666666666,0,0,0,0,4,36062,0,2,0,5,64240,65535,2,20,0,0,0,0,1.5855277511585928E15,986176.9107023608,1.585527754132023E15,1.585527750858053E15,No Label
192.168.56.101-10.0.2.15-21-43106-6,192.168.56.101,21,10.0.2.15,43106,6,29/03/2020 08:22:34 PM,154,4,2,64.0,0.0,54.0,0.0,16.0,25.76819745345025,0.0,0.0,0.0,0.0,415584.4155844156,38961.03896103896,30.8,59.95581706556921,138.0,1.0,154.0,51.33333333333333,75.11546667187346,138.0,5.0,7.0,7.0,0.0,7.0,7.0,0,0,0,0,80,40,25974.025974025975,12987.012987012988,0.0,54.0,9.142857142857144,20.128160798812623,405.14285714285717,1,0,2,2,4,0,0,0,0.0,10.666666666666666,16.0,0.0,0,0,0,0,0,0,0,10,0,0,65535,0,2,20,0,0,0,0,1.5855277541324898E15,80.25168741735799,1.585527754132536E15,1.585527754132397E15,No Label
192.168.56.101-10.0.2.15-21-43102-6,192.168.56.101,21,10.0.2.15,43102,6,29/03/2020 08:22:34 PM,222,4,2,64.0,0.0,40.0,0.0,16.0,19.595917942265423,0.0,0.0,0.0,0.0,288288.2882882883,27027.027027027027,44.4,59.21401861046082,136.0,4.0,222.0,74.0,63.55312738174259,136.0,9.0,77.0,77.0,0.0,77.0,77.0,0,0,0,0,80,40,18018.018018018018,9009.009009009009,0.0,40.0,9.142857142857144,16.283207827171438,265.14285714285717,1,0,2,2,4,0,0,0,0.0,10.666666666666666,16.0,0.0,0,0,0,0,0,0,0,10,0,0,65535,0,2,20,0,0,0,0,1.585527754132732E15,104.76163419878482,1.585527754132822E15,1.585527754132617E15,No Label
10.0.2.15-192.168.56.101-43104-21-6,10.0.2.15,43104,192.168.56.101,21,6,29/03/2020 08:22:30 PM,3273681,8,6,28.0,76.0,15.0,0.0,3.5,6.502746672423453,34.0,0.0,12.666666666666668,14.678782874157744,31.76851990160312,4.2765315252158045,251821.61538461535,905821.8424390948,3266575.0,4.0,3273681.0,467668.7142857143,1234258.7044852353,3266701.0,53.0,3273050.0,654610.0,1460134.4848264833,3266575.0,178.0,0,0,0,0,180,124,2.443732300123317,1.8327992250924878,0.0,34.0,6.933333333333334,11.061301051521061,122.35238095238094,1,2,0,5,13,0,0,0,0.0,7.428571428571429,3.5,12.666666666666666,0,0,0,0,4,88362,0,2,0,5,64240,65535,2,20,0,0,0,0,1.585527751161485E15,985397.619414703,1.585527754132561E15,1.585527750859272E15,No Label
10.0.2.15-192.168.56.101-43110-21-6,10.0.2.15,43110,192.168.56.101,21,6,29/03/2020 08:22:30 PM,3271344,8,6,27.0,76.0,15.0,0.0,3.375,6.300510183423924,34.0,0.0,12.666666666666668,14.678782874157744,31.485530106280475,4.279586616387638,251641.84615384613,905046.2248481056,3263813.0,4.0,3271344.0,467334.8571428571,1233214.3466692274,3263998.0,88.0,3270617.0,654123.4,1458862.901309544,3263813.0,247.0,0,0,0,0,180,124,2.4454780665072215,1.8341085498804162,0.0,34.0,6.866666666666667,11.02507963474101,121.55238095238097,1,2,0,5,13,0,0,0,0.0,7.357142857142857,3.375,12.666666666666666,0,0,0,0,4,120178,0,1,0,5,64240,65535,2,20,0,0,0,0,1.5855277511641872E15,984555.442112802,1.585527754132723E15,1.585527750861898E15,No Label
