Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-192.168.56.102-47602-80-6,10.0.2.15,47602,192.168.56.102,80,6,30/03/2020 08:35:49 PM,108750551,12,11,275.0,0.0,168.0,0.0,22.916666666666668,46.01276173437368,0.0,0.0,0.0,0.0,2.5287228199882867,0.21149318130811126,4943206.863636364,7083199.197632053,1.5019773E7,5.0,1.08749912E8,9886355.636363637,7184147.64176432,1.5020479E7,38.0,1.08750144E8,1.0875014399999999E7,6738086.6599171115,1.5020412E7,112.0,0,0,0,0,260,224,0.11034426850857978,0.10114891279953148,0.0,168.0,11.458333333333332,33.9052120742092,1149.5634057971015,0,2,0,10,22,0,0,0,0.0,11.956521739130435,22.916666666666668,0.0,0,0,0,0,0,0,0,11,0,0,64240,65535,10,20,0,0,0,0,1.5856149875136262E15,3.7342062522463515E7,1.585615058624968E15,1.585614949875781E15,No Label
10.0.2.15-192.168.56.102-47604-80-6,10.0.2.15,47604,192.168.56.102,80,6,30/03/2020 08:35:49 PM,108750082,12,11,274.0,0.0,168.0,0.0,22.833333333333336,46.01745386922294,0.0,0.0,0.0,0.0,2.519538330095236,0.21149409340215486,4943185.545454546,7083233.058022376,1.5019834E7,3.0,1.0874951E8,9886319.09090909,7184201.203456741,1.5020484E7,70.0,1.08749812E8,1.08749812E7,6738136.446378442,1.5020406E7,33.0,0,0,0,0,260,224,0.11034474438373297,0.10114934901842189,0.0,168.0,11.416666666666666,33.89358880848767,1148.7753623188407,0,2,0,10,22,0,0,0,0.0,11.91304347826087,22.833333333333332,0.0,0,0,0,0,0,0,0,11,0,0,64240,65535,10,20,0,0,0,0,1.5856149875137558E15,3.734196953151258E7,1.585615058625123E15,1.58561494987627E15,No Label
10.0.2.15-192.168.56.102-47606-80-6,10.0.2.15,47606,192.168.56.102,80,6,30/03/2020 08:35:49 PM,108749692,12,11,277.0,0.0,168.0,0.0,23.083333333333332,45.96334178319487,0.0,0.0,0.0,0.0,2.5471336507325466,0.21149485186587932,4943167.818181819,7083252.814745971,1.501987E7,5.0,1.08749156E8,9886286.90909091,7184243.284049552,1.5020483E7,31.0,1.08749556E8,1.08749556E7,6738170.103832496,1.5020406E7,47.0,0,0,0,0,260,224,0.11034514010393703,0.10114971176194228,0.0,168.0,11.541666666666668,33.90264728238229,1149.3894927536232,0,2,0,10,22,0,0,0,0.0,12.043478260869565,23.083333333333332,0.0,0,0,0,0,0,0,0,12,0,0,64240,65535,10,20,0,0,0,0,1.5856149875138362E15,3.7341899285691425E7,1.585615058625202E15,1.585614949876666E15,No Label
10.0.2.15-192.168.56.102-47608-80-6,10.0.2.15,47608,192.168.56.102,80,6,30/03/2020 08:35:49 PM,108749451,12,11,275.0,0.0,168.0,0.0,22.916666666666664,46.01276173437367,0.0,0.0,0.0,0.0,2.528748398003407,0.21149532056028494,4943156.863636363,7083258.601515039,1.50199E7,7.0,1.08748944E8,9886267.636363635,7184264.061223923,1.5020482E7,54.0,1.08749318E8,1.08749318E7,6738185.3372179065,1.5020407E7,129.0,0,0,0,0,260,224,0.11034538464014867,0.10114993592013628,0.0,168.0,11.458333333333334,33.9052120742092,1149.5634057971015,0,2,0,10,22,0,0,0,0.0,11.956521739130435,22.916666666666668,0.0,0,0,0,0,0,0,0,11,0,0,64240,65535,10,20,0,0,0,0,1.585614987513924E15,3.734181778444522E7,1.585615058625268E15,1.585614949876916E15,No Label
10.0.2.15-192.168.56.102-47610-80-6,10.0.2.15,47610,192.168.56.102,80,6,30/03/2020 08:35:49 PM,108749197,12,11,274.0,0.0,168.0,0.0,22.833333333333336,46.01745386922293,0.0,0.0,0.0,0.0,2.519558834075805,0.2114958145392099,4943145.3181818165,7083272.985444473,1.501993E7,7.0,1.08748721E8,9886247.363636365,7184284.986376518,1.5020479E7,36.0,1.08748972E8,1.0874897200000001E7,6738237.7105726125,1.5020406E7,46.0,0,0,0,0,260,224,0.11034564236828343,0.10115017217092648,0.0,168.0,11.416666666666666,33.89358880848767,1148.7753623188407,0,2,0,10,22,0,0,0,0.0,11.91304347826087,22.833333333333332,0.0,0,0,0,0,0,0,0,11,0,0,64240,65535,10,20,0,0,0,0,1.5856149875140105E15,3.73417393849095E7,1.585615058625337E15,1.585614949877174E15,No Label
10.0.2.15-192.168.56.102-47612-80-6,10.0.2.15,47612,192.168.56.102,80,6,30/03/2020 08:35:49 PM,108749051,12,11,274.0,0.0,168.0,0.0,22.833333333333332,46.03720498058328,0.0,0.0,0.0,0.0,2.519562216685459,0.21149609848089618,4943138.681818182,7083288.893336878,1.5019974E7,4.0,1.08748458E8,9886223.454545453,7184319.296642172,1.5020451E7,35.0,1.08748951E8,1.08748951E7,6738270.363368357,1.5020567E7,45.0,0,0,0,0,260,224,0.11034579051177192,0.10115030796912426,0.0,168.0,11.416666666666666,33.906414253592665,1149.644927536232,0,2,0,10,22,0,0,0,0.0,11.91304347826087,22.833333333333332,0.0,0,0,0,0,0,0,0,11,0,0,64240,65535,10,20,0,0,0,0,1.5856149875140865E15,3.734169904968187E7,1.585615058625458E15,1.585614949877484E15,No Label
10.0.2.15-192.168.56.102-47614-80-6,10.0.2.15,47614,192.168.56.102,80,6,30/03/2020 08:35:49 PM,108748864,12,11,276.0,0.0,168.0,0.0,23.0,45.98814076377833,0.0,0.0,0.0,0.0,2.5379575459289394,0.21149646216074497,4943130.181818182,7083285.569060487,1.5019898E7,10.0,1.08748332E8,9886212.0,7184334.909812849,1.5020477E7,34.0,1.08748655E8,1.08748655E7,6738302.419997558,1.502043E7,56.0,0,0,0,0,260,224,0.11034598025777999,0.10115048190296498,0.0,168.0,11.500000000000002,33.903956419119666,1149.4782608695655,0,2,0,10,22,0,0,0,0.0,12.0,23.0,0.0,0,0,0,0,0,0,0,12,0,0,64240,65535,10,20,0,0,0,0,1.5856149875141825E15,3.734162495433163E7,1.585615058625428E15,1.585614949877688E15,No Label
10.0.2.15-192.168.56.102-47616-80-6,10.0.2.15,47616,192.168.56.102,80,6,30/03/2020 08:35:49 PM,108748572,12,11,275.0,0.0,168.0,0.0,22.916666666666664,46.01473742841591,0.0,0.0,0.0,0.0,2.5287688375347126,0.2114970300483578,4943116.90909091,7083297.499364657,1.5019921E7,3.0,1.08748067E8,9886187.909090908,7184362.921413985,1.5020475E7,21.0,1.08748372E8,1.08748372E7,6738337.84557024,1.5020426E7,51.0,0,0,0,0,260,224,0.11034627654696928,0.10115075350138851,0.0,168.0,11.458333333333336,33.90649439736937,1149.6503623188405,0,2,0,10,22,0,0,0,0.0,11.956521739130435,22.916666666666668,0.0,0,0,0,0,0,0,0,11,0,0,64240,65535,10,20,0,0,0,0,1.5856149875142675E15,3.7341547392561615E7,1.585615058625486E15,1.585614949877984E15,No Label
10.0.2.15-192.168.56.102-47618-80-6,10.0.2.15,47618,192.168.56.102,80,6,30/03/2020 08:35:49 PM,108748310,12,11,275.0,0.0,168.0,0.0,22.916666666666668,45.99300012617205,0.0,0.0,0.0,0.0,2.5287749299276467,0.21149753959394862,4943105.0,7083308.627784153,1.5019956E7,4.0,1.08747839E8,9886167.181818182,7184389.331284223,1.5020477E7,22.0,1.08748139E8,1.08748139E7,6738362.514386487,1.5020427E7,49.0,0,0,0,0,260,224,0.11034654239684276,0.10115099719710587,0.0,168.0,11.458333333333332,33.89238617417945,1148.6938405797105,0,2,0,10,22,0,0,0,0.0,11.956521739130435,22.916666666666668,0.0,0,0,0,0,0,0,0,11,0,0,64240,65535,10,20,0,0,0,0,1.5856149875143412E15,3.734148111504092E7,1.585615058625559E15,1.585614949878251E15,No Label
10.0.2.15-192.168.56.102-47620-80-6,10.0.2.15,47620,192.168.56.102,80,6,30/03/2020 08:35:49 PM,108748071,12,11,276.0,0.0,168.0,0.0,23.0,45.96836857112627,0.0,0.0,0.0,0.0,2.5379760529269526,0.2114980044105794,4943094.136363636,7083321.625970996,1.5020003E7,4.0,1.08747647E8,9886149.727272728,7184410.529174207,1.5020478E7,52.0,1.08747976E8,1.0874797600000001E7,6738377.504713665,1.5020427E7,61.0,0,0,0,0,260,224,0.1103467849098675,0.10115121950071189,0.0,168.0,11.499999999999996,33.891130043894584,1148.608695652174,0,2,0,10,22,0,0,0,0.0,12.0,23.0,0.0,0,0,0,0,0,0,0,12,0,0,64240,65535,10,20,0,0,0,0,1.5856149875144105E15,3.734142467510998E7,1.585615058625657E15,1.585614949878493E15,No Label
10.0.2.15-192.168.56.102-47622-80-6,10.0.2.15,47622,192.168.56.102,80,6,30/03/2020 08:35:49 PM,108747876,12,11,274.0,0.0,168.0,0.0,22.833333333333332,46.03720498058328,0.0,0.0,0.0,0.0,2.5195894400732937,0.21149838365578744,4943085.272727272,7083340.446393234,1.5020042E7,3.0,1.08747491E8,9886135.545454545,7184429.743401982,1.5020487E7,24.0,1.08747808E8,1.0874780799999999E7,6738402.481648745,1.5020427E7,31.0,0,0,0,0,260,224,0.11034698277693257,0.10115140087885487,0.0,168.0,11.416666666666668,33.906414253592665,1149.6449275362318,0,2,0,10,22,0,0,0,0.0,11.91304347826087,22.833333333333332,0.0,0,0,0,0,0,0,0,11,0,0,64240,65535,10,20,0,0,0,0,1.5856149875144598E15,3.734138864638107E7,1.585615058625731E15,1.585614949878692E15,No Label
10.0.2.15-192.168.56.102-47624-80-6,10.0.2.15,47624,192.168.56.102,80,6,30/03/2020 08:35:49 PM,108747946,12,11,276.0,0.0,168.0,0.0,23.0,45.98814076377834,0.0,0.0,0.0,0.0,2.537978970195906,0.2114982475163255,4943088.454545455,7083327.414695292,1.5019934E7,3.0,1.08747405E8,9886127.727272728,7184440.469058813,1.5020478E7,16.0,1.08747858E8,1.0874785799999999E7,6738421.547569427,1.5020475E7,67.0,0,0,0,0,260,224,0.11034691174764809,0.10115133576867742,0.0,168.0,11.5,33.903956419119666,1149.4782608695655,0,2,0,10,22,0,0,0,0.0,12.0,23.0,0.0,0,0,0,0,0,0,0,12,0,0,64240,65535,10,20,0,0,0,0,1.585614987514527E15,3.734136879112158E7,1.585615058625673E15,1.585614949878821E15,No Label
10.0.2.15-192.168.56.102-47626-80-6,10.0.2.15,47626,192.168.56.102,80,6,30/03/2020 08:35:49 PM,108747816,12,11,274.0,0.0,168.0,0.0,22.833333333333332,46.01745386922293,0.0,0.0,0.0,0.0,2.519590830219524,0.21149850034689432,4943082.545454545,7083333.237021769,1.5019967E7,2.0,1.08747306E8,9886118.727272727,7184449.423764984,1.5020484E7,24.0,1.08747705E8,1.08747705E7,6738435.327890151,1.5020477E7,61.0,0,0,0,0,260,224,0.11034704365924922,0.10115145668764511,0.0,168.0,11.416666666666666,33.89358880848767,1148.7753623188407,0,2,0,10,22,0,0,0,0.0,11.91304347826087,22.833333333333332,0.0,0,0,0,0,0,0,0,11,0,0,64240,65535,10,20,0,0,0,0,1.5856149875145828E15,3.734132519127657E7,1.585615058625742E15,1.585614949878959E15,No Label
10.0.2.15-192.168.56.102-47628-80-6,10.0.2.15,47628,192.168.56.102,80,6,30/03/2020 08:35:49 PM,108747651,12,11,274.0,0.0,168.0,0.0,22.833333333333332,46.01745386922293,0.0,0.0,0.0,0.0,2.5195946531295648,0.21149882124810218,4943075.045454546,7083346.514968489,1.5020015E7,2.0,1.08747189E8,9886108.090909092,7184466.632993314,1.5020505E7,19.0,1.08747545E8,1.08747545E7,6738456.042692919,1.5020477E7,49.0,0,0,0,0,260,224,0.11034721108596635,0.10115161016213582,0.0,168.0,11.416666666666666,33.89358880848767,1148.7753623188407,0,2,0,10,22,0,0,0,0.0,11.91304347826087,22.833333333333332,0.0,0,0,0,0,0,0,0,11,0,0,64240,65535,10,20,0,0,0,0,1.585614987514634E15,3.734128325640426E7,1.585615058625823E15,1.585614949879131E15,No Label
10.0.2.15-192.168.56.102-47630-80-6,10.0.2.15,47630,192.168.56.102,80,6,30/03/2020 08:35:49 PM,108747494,12,11,273.0,0.0,168.0,0.0,22.75,46.04370453463457,0.0,0.0,0.0,0.0,2.5104026764975385,0.2114991265913677,4943067.909090908,7083359.3718148675,1.5020044E7,3.0,1.08747061E8,9886096.454545455,7184480.939095912,1.5020505E7,18.0,1.08747374E8,1.0874737399999999E7,6738476.985251459,1.5020477E7,52.0,0,0,0,0,260,224,0.11034737039549619,0.10115175619587151,0.0,168.0,11.374999999999998,33.89602067192113,1148.9402173913045,0,2,0,10,22,0,0,0,0.0,11.869565217391305,22.75,0.0,0,0,0,0,0,0,0,11,0,0,64240,65535,10,20,0,0,0,0,1.5856149875146895E15,3.734123803754882E7,1.585615058625886E15,1.585614949879295E15,No Label
10.0.2.15-192.168.56.102-47632-80-6,10.0.2.15,47632,192.168.56.102,80,6,30/03/2020 08:35:49 PM,108747467,12,11,274.0,0.0,168.0,0.0,22.833333333333336,46.019429361823676,0.0,0.0,0.0,0.0,2.5195989162671717,0.2114991791027188,4943066.681818182,7083273.623260615,1.5020078E7,2.0,1.08746927E8,9886084.272727273,7184496.972692995,1.5020497E7,19.0,1.08747338E8,1.08747338E7,6738504.929144657,1.5020618E7,30.0,0,0,0,0,260,224,0.11034739779272285,0.10115178130999594,0.0,168.0,11.416666666666666,33.894871571383476,1148.8623188405797,0,2,0,10,22,0,0,0,0.0,11.91304347826087,22.833333333333332,0.0,0,0,0,0,0,0,0,11,0,0,64240,65535,10,20,0,0,0,0,1.5856149875147972E15,3.734117966263319E7,1.585615058625967E15,1.585614949879466E15,No Label
