Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-192.168.56.102-49200-80-6,10.0.2.15,49200,192.168.56.102,80,6,31/03/2020 09:37:15 PM,92347550,12,10,322.0,0.0,168.0,0.0,26.833333333333336,45.27859886471219,0.0,0.0,0.0,0.0,3.4868277501677087,0.2382304674027627,4397502.3809523815,6900408.120217699,1.502472E7,4.0,9.234755E7,8395231.818181818,7636920.627680306,1.5025439E7,166.0,9.0175048E7,1.0019449777777778E7,7502463.310264615,1.5025334E7,256.0,0,0,0,0,260,204,0.12994389131059786,0.10828657609216487,0.0,168.0,14.0,34.82684440067878,1212.909090909091,1,2,0,9,21,0,0,0,0.0,14.636363636363637,26.833333333333332,0.0,0,0,0,0,0,0,0,14,0,0,64240,65535,9,20,0,0,0,0,1.5857050643087282E15,3.1240599573074885E7,1.58570512598864E15,1.585705035814256E15,No Label
10.0.2.15-192.168.56.102-49202-80-6,10.0.2.15,49202,192.168.56.102,80,6,31/03/2020 09:37:15 PM,92346898,12,10,318.0,0.0,168.0,0.0,26.499999999999996,45.344138640963386,0.0,0.0,0.0,0.0,3.4435374320856993,0.23823214938957668,4397471.333333333,6900477.0714810025,1.5024794E7,3.0,9.2346898E7,8395172.545454545,7637009.585195038,1.5025431E7,40.0,9.0174441E7,1.0019382333333334E7,7502569.6272715125,1.5025335E7,141.0,0,0,0,0,260,204,0.12994480875795092,0.10828734063162578,0.0,168.0,13.82608695652174,34.80288934441173,1211.2411067193675,1,2,0,9,21,0,0,0,0.0,14.454545454545455,26.5,0.0,0,0,0,0,0,0,0,14,0,0,64240,65535,9,20,0,0,0,0,1.5857050643089275E15,3.124047386496199E7,1.585705125988813E15,1.585705035815081E15,No Label
10.0.2.15-192.168.56.102-49204-80-6,10.0.2.15,49204,192.168.56.102,80,6,31/03/2020 09:37:15 PM,92346617,12,10,320.0,0.0,168.0,0.0,26.666666666666664,45.30770220158907,0.0,0.0,0.0,0.0,3.465205444396518,0.2382328743022606,4397457.952380952,6900512.094976427,1.5024833E7,3.0,9.2346617E7,8395147.0,7637051.160301389,1.5025425E7,36.0,9.017403E7,1.0019336666666666E7,7502639.248265506,1.5025335E7,50.0,0,0,0,0,260,204,0.1299452041648694,0.10828767013739118,0.0,168.0,13.913043478260871,34.812371159844176,1211.9011857707508,1,2,0,9,21,0,0,0,0.0,14.545454545454545,26.666666666666668,0.0,0,0,0,0,0,0,0,14,0,0,64240,65535,9,20,0,0,0,0,1.5857050643090675E15,3.124036676337471E7,1.585705125988896E15,1.585705035815572E15,No Label
10.0.2.15-192.168.56.102-49206-80-6,10.0.2.15,49206,192.168.56.102,80,6,31/03/2020 09:37:15 PM,92346252,12,10,319.0,0.0,168.0,0.0,26.58333333333333,45.328013279635236,0.0,0.0,0.0,0.0,3.4543903308604227,0.23823381592140846,4397440.571428571,6900575.205315297,1.5024863E7,4.0,9.2346252E7,8395113.818181818,7637115.913813916,1.5025325E7,74.0,9.0173749E7,1.0019305444444444E7,7502686.26039609,1.5025334E7,124.0,0,0,0,0,260,204,0.12994571777531372,0.10828809814609476,0.0,168.0,13.869565217391306,34.808964816847876,1211.6640316205533,1,2,0,9,21,0,0,0,0.0,14.5,26.583333333333332,0.0,0,0,0,0,0,0,0,14,0,0,64240,65535,9,20,0,0,0,0,1.585705064309292E15,3.1240200567493618E7,1.58570512598916E15,1.585705035816014E15,No Label
10.0.2.15-192.168.56.102-49208-80-6,10.0.2.15,49208,192.168.56.102,80,6,31/03/2020 09:37:15 PM,92346026,12,10,319.0,0.0,168.0,0.0,26.583333333333332,45.328013279635236,0.0,0.0,0.0,0.0,3.4543987848486304,0.23823439895507795,4397429.80952381,6900619.649093214,1.5025007E7,4.0,9.2346026E7,8395093.272727272,7637163.619622314,1.5025424E7,50.0,9.0172907E7,1.0019211888888888E7,7502827.269951432,1.5025514E7,157.0,0,0,0,0,260,204,0.1299460357936789,0.10828836316139907,0.0,168.0,13.869565217391306,34.808964816847876,1211.6640316205533,1,2,0,9,21,0,0,0,0.0,14.5,26.583333333333332,0.0,0,0,0,0,0,0,0,14,0,0,64240,65535,9,20,0,0,0,0,1.585705064309488E15,3.1240065772665143E7,1.585705125989255E15,1.5857050358168E15,No Label
10.0.2.15-192.168.56.102-49210-80-6,10.0.2.15,49210,192.168.56.102,80,6,31/03/2020 09:37:15 PM,92345707,12,10,321.0,0.0,168.0,0.0,26.75,45.29122933356364,0.0,0.0,0.0,0.0,3.476068465207592,0.23823522191453902,4397414.6190476185,6900643.915955144,1.5025111E7,3.0,9.2345707E7,8395064.272727273,7637203.258989092,1.5025498E7,49.0,9.0172599E7,1.0019177666666666E7,7502913.922641456,1.502552E7,121.0,0,0,0,0,260,204,0.12994648468065764,0.10828873723388137,0.0,168.0,13.956521739130435,34.818331458207425,1212.3162055335965,1,2,0,9,21,0,0,0,0.0,14.590909090909092,26.75,0.0,0,0,0,0,0,0,0,14,0,0,64240,65535,9,20,0,0,0,0,1.5857050643096565E15,3.1239965665306482E7,1.585705125989323E15,1.585705035817232E15,No Label
10.0.2.15-192.168.56.102-49212-80-6,10.0.2.15,49212,192.168.56.102,80,6,31/03/2020 09:37:15 PM,92345563,12,10,322.0,0.0,168.0,0.0,26.833333333333336,45.27859886471219,0.0,0.0,0.0,0.0,3.4869027762600786,0.23823559340907371,4397407.761904761,6900677.2877295455,1.502515E7,3.0,9.2345563E7,8395051.18181818,7637241.545697265,1.5025428E7,54.0,9.0172265E7,1.0019140555555556E7,7502971.686497008,1.5025522E7,105.0,0,0,0,0,260,204,0.1299466873140402,0.1082889060950335,0.0,168.0,14.0,34.82684440067878,1212.909090909091,1,2,0,9,21,0,0,0,0.0,14.636363636363637,26.833333333333332,0.0,0,0,0,0,0,0,0,14,0,0,64240,65535,9,20,0,0,0,0,1.5857050643097865E15,3.1239888880842738E7,1.58570512598934E15,1.585705035817582E15,No Label
192.168.56.102-10.0.2.15-80-49200-6,192.168.56.102,80,10.0.2.15,49200,6,31/03/2020 09:38:48 PM,893,3,1,483.0,0.0,483.0,0.0,161.0,278.86018001858923,0.0,0.0,0.0,0.0,540873.4602463605,4479.283314669653,297.66666666666663,469.6960009765182,840.0,22.0,893.0,446.5,556.4930367938128,840.0,53.0,0,0,0,0,0,0,0,0,0,60,20,3359.4624860022395,1119.8208286674133,0.0,483.0,96.6,216.0041666264797,46657.8,1,0,1,1,3,0,0,0,0.0,120.75,161.0,0.0,0,0,0,0,0,0,0,120,0,0,65535,0,1,20,0,0,0,0,1.585705128162465E15,0.0,1.585705128162465E15,1.585705128162465E15,No Label
192.168.56.102-10.0.2.15-80-49202-6,192.168.56.102,80,10.0.2.15,49202,6,31/03/2020 09:38:48 PM,1306,3,1,483.0,0.0,483.0,0.0,161.0,278.86018001858923,0.0,0.0,0.0,0.0,369831.5467075038,3062.7871362940273,435.3333333333333,563.5533101076892,1075.0,12.0,1306.0,653.0,596.7981233214462,1075.0,231.0,0,0,0,0,0,0,0,0,0,60,20,2297.0903522205203,765.6967840735068,0.0,483.0,96.6,216.0041666264797,46657.8,1,0,1,1,3,0,0,0,0.0,120.75,161.0,0.0,0,0,0,0,0,0,0,120,0,0,65535,0,1,20,0,0,0,0,1.585705128162499E15,0.0,1.585705128162499E15,1.585705128162499E15,No Label
192.168.56.102-10.0.2.15-80-49204-6,192.168.56.102,80,10.0.2.15,49204,6,31/03/2020 09:38:48 PM,1493,3,1,483.0,0.0,483.0,0.0,161.0,278.86018001858923,0.0,0.0,0.0,0.0,323509.7119892833,2679.169457468185,497.66666666666663,833.4388599851421,1460.0,9.0,1493.0,746.5,1009.0413767532033,1460.0,33.0,0,0,0,0,0,0,0,0,0,60,20,2009.3770931011386,669.7923643670463,0.0,483.0,96.6,216.0041666264797,46657.8,1,0,1,1,3,0,0,0,0.0,120.75,161.0,0.0,0,0,0,0,0,0,0,120,0,0,65535,0,1,20,0,0,0,0,1.585705128162506E15,0.0,1.585705128162506E15,1.585705128162506E15,No Label
192.168.56.102-10.0.2.15-80-49206-6,192.168.56.102,80,10.0.2.15,49206,6,31/03/2020 09:38:48 PM,1524,3,1,483.0,0.0,483.0,0.0,161.0,278.86018001858923,0.0,0.0,0.0,0.0,316929.13385826774,2624.6719160104985,508.0,864.3026090438464,1506.0,5.0,1524.0,762.0,1052.1748904055828,1506.0,18.0,0,0,0,0,0,0,0,0,0,60,20,1968.5039370078741,656.1679790026246,0.0,483.0,96.6,216.0041666264797,46657.8,1,0,1,1,3,0,0,0,0.0,120.75,161.0,0.0,0,0,0,0,0,0,0,120,0,0,65535,0,1,20,0,0,0,0,1.585705128162509E15,0.0,1.585705128162509E15,1.585705128162509E15,No Label
192.168.56.102-10.0.2.15-80-49208-6,192.168.56.102,80,10.0.2.15,49208,6,31/03/2020 09:38:48 PM,1460,3,1,483.0,0.0,483.0,0.0,161.0,278.86018001858923,0.0,0.0,0.0,0.0,330821.9178082192,2739.7260273972606,486.66666666666663,792.0077861570134,1401.0,13.0,1460.0,730.0,948.9373003523468,1401.0,59.0,0,0,0,0,0,0,0,0,0,60,20,2054.7945205479455,684.9315068493152,0.0,483.0,96.6,216.0041666264797,46657.8,1,0,1,1,3,0,0,0,0.0,120.75,161.0,0.0,0,0,0,0,0,0,0,120,0,0,65535,0,1,20,0,0,0,0,1.585705128163023E15,0.0,1.585705128163023E15,1.585705128163023E15,No Label
10.0.2.15-192.168.56.102-49214-80-6,10.0.2.15,49214,192.168.56.102,80,6,31/03/2020 09:37:15 PM,92346620,12,10,318.0,0.0,168.0,0.0,26.5,45.34413864096339,0.0,0.0,0.0,0.0,3.4435477985009086,0.23823286656295595,4397458.095238096,6900692.954377205,1.502488E7,3.0,9.234662E7,8395147.272727272,7637230.123615251,1.5025416E7,20.0,9.0172278E7,1.0019142E7,7503055.676627589,1.5025224E7,51.0,0,0,0,0,260,204,0.1299451999434305,0.10828766661952544,0.0,168.0,13.82608695652174,34.80288934441173,1211.2411067193675,1,2,0,9,21,0,0,0,0.0,14.454545454545455,26.5,0.0,0,0,0,0,0,0,0,14,0,0,64240,65535,9,20,0,0,0,0,1.5857050643099242E15,3.1239840267745037E7,1.585705125989835E15,1.585705035817909E15,No Label
10.0.2.15-192.168.56.102-49216-80-6,10.0.2.15,49216,192.168.56.102,80,6,31/03/2020 09:37:15 PM,92346808,12,10,320.0,0.0,168.0,0.0,26.666666666666664,45.30770220158907,0.0,0.0,0.0,0.0,3.4651982773459804,0.23823238156753615,4397467.047619047,6900707.001038629,1.5025046E7,3.0,9.2346808E7,8395164.363636363,7637233.862845765,1.502556E7,20.0,9.0172048E7,1.0019116444444444E7,7503096.867450169,1.5025449E7,46.0,0,0,0,0,260,204,0.12994493540047428,0.10828744616706189,0.0,168.0,13.913043478260871,34.812371159844176,1211.9011857707508,1,2,0,9,21,0,0,0,0.0,14.545454545454545,26.666666666666668,0.0,0,0,0,0,0,0,0,14,0,0,64240,65535,9,20,0,0,0,0,1.5857050643100902E15,3.123983077602676E7,1.585705125989893E15,1.585705035818224E15,No Label
192.168.56.102-10.0.2.15-80-49212-6,192.168.56.102,80,10.0.2.15,49212,6,31/03/2020 09:38:48 PM,1600,3,1,483.0,0.0,483.0,0.0,161.0,278.86018001858923,0.0,0.0,0.0,0.0,301875.0,2500.0,533.3333333333333,894.3245123182822,1566.0,13.0,1600.0,800.0,1083.287588777791,1566.0,34.0,0,0,0,0,0,0,0,0,0,60,20,1875.0,625.0,0.0,483.0,96.6,216.0041666264797,46657.8,1,0,1,1,3,0,0,0,0.0,120.75,161.0,0.0,0,0,0,0,0,0,0,120,0,0,65535,0,1,20,0,0,0,0,1.585705128163555E15,0.0,1.585705128163555E15,1.585705128163555E15,No Label
10.0.2.15-192.168.56.102-49218-80-6,10.0.2.15,49218,192.168.56.102,80,6,31/03/2020 09:37:15 PM,92346821,12,10,320.0,0.0,168.0,0.0,26.666666666666664,45.311714987975414,0.0,0.0,0.0,0.0,3.4651977895373354,0.2382323480306918,4397467.666666667,6900718.515481988,1.5025287E7,2.0,9.2346821E7,8395165.545454545,7637243.742456966,1.5025771E7,20.0,9.017182E7,1.0019091111111112E7,7503127.779166274,1.5025602E7,53.0,0,0,0,0,260,204,0.12994491710765008,0.10828743092304173,0.0,168.0,13.913043478260871,34.814982463769375,1212.0830039525692,1,2,0,9,21,0,0,0,0.0,14.545454545454545,26.666666666666668,0.0,0,0,0,0,0,0,0,14,0,0,64240,65535,9,20,0,0,0,0,1.5857050643102178E15,3.1239789921463396E7,1.585705125989963E15,1.585705035818458E15,No Label
192.168.56.102-10.0.2.15-80-49214-6,192.168.56.102,80,10.0.2.15,49214,6,31/03/2020 09:38:48 PM,826,3,1,483.0,0.0,483.0,0.0,161.0,278.86018001858923,0.0,0.0,0.0,0.0,584745.7627118644,4842.6150121065375,275.3333333333333,443.16400274992253,787.0,13.0,826.0,413.0,528.9158723275375,787.0,39.0,0,0,0,0,0,0,0,0,0,60,20,3631.961259079903,1210.6537530266344,0.0,483.0,96.6,216.0041666264797,46657.8,1,0,1,1,3,0,0,0,0.0,120.75,161.0,0.0,0,0,0,0,0,0,0,120,0,0,65535,0,1,20,0,0,0,0,1.585705128164763E15,0.0,1.585705128164763E15,1.585705128164763E15,No Label
192.168.56.102-10.0.2.15-80-49216-6,192.168.56.102,80,10.0.2.15,49216,6,31/03/2020 09:38:48 PM,625,3,1,483.0,0.0,483.0,0.0,161.0,278.86018001858923,0.0,0.0,0.0,0.0,772800.0,6400.0,208.33333333333334,223.12851304423944,452.0,14.0,625.0,312.5,197.28279195104676,452.0,173.0,0,0,0,0,0,0,0,0,0,60,20,4800.0,1600.0,0.0,483.0,96.6,216.0041666264797,46657.8,1,0,1,1,3,0,0,0,0.0,120.75,161.0,0.0,0,0,0,0,0,0,0,120,0,0,65535,0,1,20,0,0,0,0,1.585705128165397E15,0.0,1.585705128165397E15,1.585705128165397E15,No Label
10.0.2.15-192.168.56.102-49220-80-6,10.0.2.15,49220,192.168.56.102,80,6,31/03/2020 09:37:15 PM,92347434,13,11,320.0,0.0,135.0,0.0,24.615384615384613,34.55319199325985,0.0,0.0,0.0,0.0,3.46517478763947,0.2598881090729602,4015105.8260869565,6700240.75586625,1.5025361E7,2.0,9.2347434E7,7695619.5,7674490.165615344,1.5025719E7,27.0,9.017195E7,9017195.0,7751159.736267915,1.5025773E7,36.0,0,0,0,0,280,224,0.14077272574785346,0.11911538332510678,0.0,135.0,12.799999999999999,27.468163389640743,754.5,1,2,0,10,23,0,0,0,0.0,13.333333333333334,24.615384615384617,0.0,0,0,0,0,4,4644,0,13,0,0,64240,65535,10,20,0,0,0,0,1.5857050615969962E15,3.08508244407349E7,1.585705125990105E15,1.585705035818702E15,No Label
10.0.2.15-192.168.56.102-49222-80-6,10.0.2.15,49222,192.168.56.102,80,6,31/03/2020 09:37:15 PM,92347452,13,11,322.0,0.0,135.0,0.0,24.769230769230766,34.528137912321704,0.0,0.0,0.0,0.0,3.4868314504226925,0.25988805841659823,4015106.6086956523,6700288.430083444,1.5025403E7,2.0,9.2347452E7,7695621.0,7674515.962627729,1.5025724E7,22.0,9.0171796E7,9017179.6,7751204.873017774,1.5025774E7,38.0,0,0,0,0,280,224,0.1407726983089907,0.11911536010760751,0.0,135.0,12.879999999999997,27.48836117341301,755.61,1,2,0,10,23,0,0,0,0.0,13.416666666666666,24.76923076923077,0.0,0,0,0,0,4,4691,0,13,0,0,64240,65535,10,20,0,0,0,0,1.585705061597143E15,3.0850796410666198E7,1.585705125990211E15,1.585705035818971E15,No Label
192.168.56.102-10.0.2.15-80-49218-6,192.168.56.102,80,10.0.2.15,49218,6,31/03/2020 09:38:48 PM,891,3,1,483.0,0.0,483.0,0.0,161.0,278.86018001858923,0.0,0.0,0.0,0.0,542087.5420875421,4489.337822671157,297.0,476.4651089009561,847.0,10.0,891.0,445.5,567.8067452927977,847.0,44.0,0,0,0,0,0,0,0,0,0,60,20,3367.003367003367,1122.3344556677891,0.0,483.0,96.6,216.0041666264797,46657.8,1,0,1,1,3,0,0,0,0.0,120.75,161.0,0.0,0,0,0,0,0,0,0,120,0,0,65535,0,1,20,0,0,0,0,1.585705128165607E15,0.0,1.585705128165607E15,1.585705128165607E15,No Label
192.168.56.102-10.0.2.15-80-49220-6,192.168.56.102,80,10.0.2.15,49220,6,31/03/2020 09:38:48 PM,351,3,1,483.0,0.0,483.0,0.0,161.0,278.86018001858923,0.0,0.0,0.0,0.0,1376068.376068376,11396.011396011396,117.0,171.70905625505023,315.0,9.0,351.0,175.5,197.28279195104676,315.0,36.0,0,0,0,0,0,0,0,0,0,60,20,8547.008547008547,2849.002849002849,0.0,483.0,96.6,216.0041666264797,46657.8,1,0,1,1,3,0,0,0,0.0,120.75,161.0,0.0,0,0,0,0,0,0,0,120,0,0,65535,0,1,20,0,0,0,0,1.58570512816648E15,0.0,1.58570512816648E15,1.58570512816648E15,No Label
10.0.2.15-192.168.56.102-49224-80-6,10.0.2.15,49224,192.168.56.102,80,6,31/03/2020 09:37:15 PM,92347662,13,11,322.0,0.0,135.0,0.0,24.769230769230766,34.528137912321704,0.0,0.0,0.0,0.0,3.4868235213144865,0.2598874674271667,4015115.739130434,6700240.948983621,1.5025525E7,2.0,9.2347662E7,7695638.5,7674511.136539702,1.5025816E7,22.0,9.0171549E7,9017154.9,7751211.128177633,1.5026286E7,38.0,0,0,0,0,280,224,0.1407723781897153,0.1191150892374514,0.0,135.0,12.879999999999997,27.48836117341301,755.61,1,2,0,10,23,0,0,0,0.0,13.416666666666666,24.76923076923077,0.0,0,0,0,0,4,4716,0,13,0,0,64240,65535,10,20,0,0,0,0,1.5857050615973075E15,3.0850728814162754E7,1.585705125990165E15,1.585705035819232E15,No Label
